"도착지전철역","역간소요분","외부코드","전철명명(영문)","전철역명","전철역코드","출발지전철역","호선"
"화전","4","K317","Susaek","수색","1267","수색","경의선"
"강매","3","K318","Hwajeon","화전","1268","화전","경의선"
"행신","2","K319","Gangmae","강매","1269","강매","경의선"
"능곡","3","K320","Haengsin","행신","1270","행신","경의선"
"대곡","3","K321","Neunggok","능곡","1271","능곡","경의선"
"곡산","3","K322","Daegok","대곡","0300","대곡","경의선"
"백마","3","K323","Goksan","곡산","1272","곡산","경의선"
"풍산","3","K324","Baengma","백마","1273","백마","경의선"
"일산","3","K325","Pungsan","풍산","1274","풍산","경의선"
"탄현","3","K326","Ilsan","일산","1275","일산","경의선"
"야당","3","K327","Tanhyeon","탄현","1276","탄현","경의선"
"운정","2","K328","Yadang","야당","1277","야당","경의선"
"금릉","4","K329","Unjeong","운정","1278","운정","경의선"
"금촌","3","K330","Geumneung","금릉","1279","금릉","경의선"
"월롱","5","K331","Geumchon","금촌","1280","금촌","경의선"
"파주","3","K333","Wollong","월롱","1282","월롱","경의선"
"문산","5","K334","Paju","파주","1283","파주","경의선"
"효창공원앞","65","K335","Munsan","문산","1284","문산","경의선"
"신촌","23","K826","Hyochang Park","효창공원앞","1261","효창공원앞","경의선"
"서울역","7","P312","Sinchon","신촌","1252","신촌","경의선"
"공덕","4","A01","Seoul Station","서울역","4201","서울역","공항철도"
"홍대입구","4","A02","Gongdeok","공덕","4202","공덕","공항철도"
"디지털미디어시티","4","A03","Hongik Univ.","홍대입구","4203","홍대입구","공항철도"
"마곡나루","7","A04","Digital Media City","디지털미디어시티","4204","디지털미디어시티","공항철도"
"김포공항","3","A042","Magongnaru","마곡나루","4206","마곡나루","공항철도"
"계양","7","A05","Gimpo Intl. Airport","김포공항","4207","김포공항","공항철도"
"검암","6","A06","Gyeyang","계양","4208","계양","공항철도"
"청라국제도시","4","A07","Geomam","검암","4209","검암","공항철도"
"운서","9","A071","Cheongna Int’l City Station","청라국제도시","4210","청라국제도시","공항철도"
"공항화물청사","4","A08","Unseo","운서","4211","운서","공항철도"
"인천공항1터미널","4","A09","Incheon Intl. Airport Cargo Terminal","공항화물청사","4212","공항화물청사","공항철도"
"인천공항2터미널","6","A10","Incheon Intl. Airport","인천공항1터미널","4213","인천공항1터미널","공항철도"
"서울숲","14","K209","Cheongnyangni","청량리","1845","청량리","수인분당선"
