"도착지전철역","역간소요분","외부코드","전철명명(영문)","전철역명","전철역코드","출발지전철역","호선"
"안국","2","327","Gyeongbokgung","경복궁","0317","경복궁","03호선"
"종로3가","2","328","Anguk","안국","0318","안국","03호선"
"을지로3가","2","329","Jongno 3(sam)-ga","종로3가","0319","종로3가","03호선"
"충무로","2","330","Euljiro 3(sam)-ga","을지로3가","0320","을지로3가","03호선"
"동대입구","2","331","Chungmuro","충무로","0321","충무로","03호선"
"약수","2","332","Dongguk Univ.","동대입구","0322","동대입구","03호선"
"금호","2","333","Yaksu","약수","0323","약수","03호선"
"옥수","2","334","Geumho","금호","0324","금호","03호선"
"압구정","3","335","Oksu","옥수","0325","옥수","03호선"
"신사","3","336","Apgujeong","압구정","0326","압구정","03호선"
"잠원","2","337","Sinsa","신사","0327","신사","03호선"
"고속터미널","2","338","Jamwon","잠원","0328","잠원","03호선"
"교대","3","339","Express Bus Terminal","고속터미널","0329","고속터미널","03호선"
"남부터미널","2","340","Seoul Nat`l Univ. of Education","교대","0330","교대","03호선"
"양재","3","341","Nambu Bus Terminal","남부터미널","0331","남부터미널","03호선"
"매봉","3","342","Yangjae","양재","0332","양재","03호선"
"도곡","2","343","Maebong","매봉","0333","매봉","03호선"
"대치","2","344","Dogok","도곡","0334","도곡","03호선"
"학여울","2","345","Daechi","대치","0335","대치","03호선"
"대청","2","346","Hangnyeoul","학여울","0336","학여울","03호선"
"일원","2","347","Daecheong","대청","0337","대청","03호선"
"수서","3","348","Irwon","일원","0338","일원","03호선"
"가락시장","2","349","Suseo","수서","0339","수서","03호선"
"경찰병원","2","350","Garak Market","가락시장","0340","가락시장","03호선"
"오금","2","351","National Police Hospital","경찰병원","0341","경찰병원","03호선"
"귤현","3","I110","Gyeyang","계양","3110","계양","인천선"
"박촌","3","I111","Gyulhyeon","귤현","3111","귤현","인천선"
"임학","2","I112","Bakchon","박촌","3112","박촌","인천선"
"계산","2","I113","Imhak","임학","3113","임학","인천선"
"경인교대입구","3","I114","Gyesan","계산","3114","계산","인천선"
"작전","2","I115","Gyeong-in Nat`l Univ. of Education","경인교대입구","3115","경인교대입구","인천선"
"갈산","2","I116","Jakjeon","작전","3116","작전","인천선"
"부평구청","2","I117","Galsan","갈산","3117","갈산","인천선"
"부평시장","2","I118","Bupyeong-gu Office","부평구청","3118","부평구청","인천선"
"부평","2","I119","Bupyeong Market","부평시장","3119","부평시장","인천선"
"동수","2","I120","Bupyeong","부평","3120","부평","인천선"
"부평삼거리","2","I121","Dongsu","동수","3121","동수","인천선"
"간석오거리","2","I122","Bupyeongsamgeori","부평삼거리","3122","부평삼거리","인천선"
"인천시청","3","I123","Ganseogogeori","간석오거리","3123","간석오거리","인천선"
"예술회관","2","I124","Incheon City Hall","인천시청","3124","인천시청","인천선"
"인천터미널","2","I125","Arts Center","예술회관","3125","예술회관","인천선"
"문학경기장","2","I126","Incheon Bus Terminal","인천터미널","3126","인천터미널","인천선"
"선학","2","I127","Munhak Sports Complex","문학경기장","3127","문학경기장","인천선"
"신연수","2","I128","Seonhak","선학","3128","선학","인천선"
"원인재","2","I129","Sinyeonsu","신연수","3129","신연수","인천선"
"동춘","2","I130","Woninjae","원인재","3130","원인재","인천선"
"동막","2","I131","Dongchun","동춘","3131","동춘","인천선"
"캠퍼스타운","3","I132","Dongmak","동막","3132","동막","인천선"
"테크노파크","2","I133","Campus Town","캠퍼스타운","3133","캠퍼스타운","인천선"
"지식정보단지","3","I134","Technopark","테크노파크","3134","테크노파크","인천선"
"인천대입구","2","I135","BIT Zone","지식정보단지","3135","지식정보단지","인천선"
"센트럴파크","2","I136","Incheon Nat'l Univ.","인천대입구","3136","인천대입구","인천선"
"국제업무지구","1","I137","Central Park","센트럴파크","3137","센트럴파크","인천선"
"을지로입구","2","201","City Hall","시청","0201","시청","02호선"
"을지로3가","2","202","Euljiro 1(il)-ga","을지로입구","0202","을지로입구","02호선"
"을지로4가","2","203","Euljiro 3(sam)-ga","을지로3가","0203","을지로3가","02호선"
"동대문역사문화공원","2","204","Euljiro 4(sa)-ga","을지로4가","0204","을지로4가","02호선"
"신당","2","205","Dongdaemun History  Culture Park","동대문역사문화공원","0205","동대문역사문화공원","02호선"
"상왕십리","2","206","Sindang","신당","0206","신당","02호선"
"왕십리","2","207","Sangwangsimni","상왕십리","0207","상왕십리","02호선"
"한양대","2","208","Wangsimni","왕십리","0208","왕십리","02호선"
"뚝섬","2","209","Hanyang Univ.","한양대","0209","한양대","02호선"
"성수","2","210","Ttukseom","뚝섬","0210","뚝섬","02호선"
"용답","4","211","Seongsu","성수","0211","성수","02호선"
"신답","2","211-1","Yongdap","용답","0244","용답","02호선"
"신설동","4","211-2","Sindap","신답","0245","신답","02호선"
"건대입구","17","211-4","Sinseol-dong","신설동","0246","신설동","02호선"
"구의","3","212","Konkuk Univ.","건대입구","0212","건대입구","02호선"
"강변","2","213","Guui","구의","0213","구의","02호선"
"잠실나루","3","214","Gangbyeon","강변","0214","강변","02호선"
"잠실","2","215","Jamsillaru","잠실나루","0215","잠실나루","02호선"
"잠실새내","2","216","Jamsil","잠실","0216","잠실","02호선"
"종합운동장","2","217","Jamsilsaenae","잠실새내","0217","잠실새내","02호선"
"삼성","2","218","Sports Complex","종합운동장","0218","종합운동장","02호선"
"선릉","2","219","Samseong","삼성","0219","삼성","02호선"
"역삼","3","220","Seolleung","선릉","0220","선릉","02호선"
"강남","2","221","Yeoksam","역삼","0221","역삼","02호선"
"교대","2","222","Gangnam","강남","0222","강남","02호선"
"서초","2","223","Seoul Nat`l Univ. of Education","교대","0223","교대","02호선"
"방배","3","224","Seocho","서초","0224","서초","02호선"
"사당","3","225","Bangbae","방배","0225","방배","02호선"
"낙성대","3","226","Sadang","사당","0226","사당","02호선"
"서울대입구","2","227","Nakseongdae","낙성대","0227","낙성대","02호선"
"봉천","2","228","Seoul Nat`l Univ.","서울대입구","0228","서울대입구","02호선"
"신림","2","229","Bongcheon","봉천","0229","봉천","02호선"
"신대방","3","230","Sillim","신림","0230","신림","02호선"
"구로디지털단지","2","231","Sindaebang","신대방","0231","신대방","02호선"
"대림","2","232","Guro Digital Complex","구로디지털단지","0232","구로디지털단지","02호선"
"신도림","3","233","Daerim","대림","0233","대림","02호선"
"도림천","2","234","Sindorim","신도림","0234","신도림","02호선"
"양천구청","3","234-1","Dorimcheon","도림천","0247","도림천","02호선"
"신정네거리","4","234-2","Yangcheon-gu Office","양천구청","0248","양천구청","02호선"
"까치산","3","234-3","Sinjeongnegeori","신정네거리","0249","신정네거리","02호선"
"문래","20","234-4","Kkachisan","까치산","0200","까치산","02호선"
"영등포구청","2","235","Mullae","문래","0235","문래","02호선"
"당산","2","236","Yeongdeungpo-gu Office","영등포구청","0236","영등포구청","02호선"
"합정","3","237","Dangsan","당산","0237","당산","02호선"
"홍대입구","2","238","Hapjeong","합정","0238","합정","02호선"
"신촌","3","239","Hongik Univ.","홍대입구","0239","홍대입구","02호선"
"이대","2","240","Sinchon","신촌","0240","신촌","02호선"
"아현","2","241","Ewha Womans Univ.","이대","0241","이대","02호선"
"충정로","2","242","Ahyeon","아현","0242","아현","02호선"
"개화산","2","510","Banghwa","방화","2511","방화","05호선"
"김포공항","2","511","Gaehwasan","개화산","2512","개화산","05호선"
"송정","2","512","Gimpo Intl. Airport","김포공항","2513","김포공항","05호선"
"마곡","2","513","Songjeong","송정","2514","송정","05호선"
"발산","2","514","Magok","마곡","2515","마곡","05호선"
"우장산","2","515","Balsan","발산","2516","발산","05호선"
"화곡","2","516","Ujangsan","우장산","2517","우장산","05호선"
"까치산","2","517","Hwagok","화곡","2518","화곡","05호선"
"신정","2","518","Kkachisan","까치산","2519","까치산","05호선"
"목동","2","519","Sinjeong","신정","2520","신정","05호선"
"오목교","2","520","Mok-dong","목동","2521","목동","05호선"
"양평","2","521","Omokgyo","오목교","2522","오목교","05호선"
"영등포구청","2","522","Yangpyeong","양평","2523","양평","05호선"
"영등포시장","2","523","Yeongdeungpo-gu Office","영등포구청","2524","영등포구청","05호선"
"신길","2","524","Yeongdeungpo Market","영등포시장","2525","영등포시장","05호선"
"여의도","2","525","Singil","신길","2526","신길","05호선"
"여의나루","2","526","Yeouido","여의도","2527","여의도","05호선"
"마포","3","527","Yeouinaru","여의나루","2528","여의나루","05호선"
"공덕","2","528","Mapo","마포","2529","마포","05호선"
"애오개","2","529","Gongdeok","공덕","2530","공덕","05호선"
"충정로","2","530","Aeogae","애오개","2531","애오개","05호선"
"서대문","2","531","Chungjeongno","충정로","2532","충정로","05호선"
"광화문","2","532","Seodaemun","서대문","2533","서대문","05호선"
"종로3가","2","533","Gwanghwamun","광화문","2534","광화문","05호선"
"을지로4가","2","534","Jongno 3(sam)-ga","종로3가","2535","종로3가","05호선"
"동대문역사문화공원","2","535","Euljiro 4(sa)-ga","을지로4가","2536","을지로4가","05호선"
"청구","2","536","Dongdaemun History  Culture Park","동대문역사문화공원","2537","동대문역사문화공원","05호선"
"신금호","2","5371","Cheonggu","청구","2538","청구","05호선"
"행당","2","538","Singeumho","신금호","2539","신금호","05호선"
"왕십리","2","539","Haengdang","행당","2540","행당","05호선"
"마장","2","540","Wangsimni","왕십리","2541","왕십리","05호선"
"답십리","2","541","Majang","마장","2542","마장","05호선"
"장한평","2","542","Dapsimni","답십리","2543","답십리","05호선"
"군자","2","543","Janghanpyeong","장한평","2544","장한평","05호선"
"아차산","2","544","Gunja","군자","2545","군자","05호선"
"광나루","2","545","Achasan","아차산","2546","아차산","05호선"
"천호","3","546","Gwangnaru","광나루","2547","광나루","05호선"
"강동","2","547","Cheonho","천호","2548","천호","05호선"
"길동","2","548","Gangdong","강동","2549","강동","05호선"
"굽은다리","2","549","Gil-dong","길동","2550","길동","05호선"
"명일","2","550","Gubeundari","굽은다리","2551","굽은다리","05호선"
"고덕","2","551","Myeongil","명일","2552","명일","05호선"
"상일동","2","552","Godeok","고덕","2553","고덕","05호선"
"강일","2","553","Sangil-dong","상일동","2554","상일동","05호선"
"미사","2","554","Gangil","강일","2562","강일","05호선"
"하남풍산","3","555","Misa","미사","2563","미사","05호선"
"하남시청","2","556","Hanam Pungsan","하남풍산","2564","하남풍산","05호선"
"둔촌동","29","557","Hanam City Hall","하남시청","2565","하남시청","05호선"
"올림픽공원","2","P549","Dunchon-dong","둔촌동","2555","둔촌동","05호선"
"방이","2","P550","Olympic Park","올림픽공원","2556","올림픽공원","05호선"
"오금","2","P551","Bangi","방이","2557","방이","05호선"
"개롱","2","P552","Ogeum","오금","2558","오금","05호선"
"거여","2","P553","Gaerong","개롱","2559","개롱","05호선"
"마천","2","P554","Geoyeo","거여","2560","거여","05호선"
"상계","2","409","Danggogae","당고개","0409","당고개","04호선"
"노원","2","410","Sanggye","상계","0410","상계","04호선"
"창동","3","411","Nowon","노원","0411","노원","04호선"
"쌍문","2","412","Chang-dong","창동","0412","창동","04호선"
"수유","3","413","Ssangmun","쌍문","0413","쌍문","04호선"
"미아","2","414","Suyu","수유","0414","수유","04호선"
"미아사거리","3","415","Mia","미아","0415","미아","04호선"
"길음","2","416","Miasamgeori","미아사거리","0416","미아사거리","04호선"
"성신여대입구","3","417","Gireum","길음","0417","길음","04호선"
"한성대입구","2","418","Sungshin Women`s Univ.","성신여대입구","0418","성신여대입구","04호선"
"혜화","2","419","Hansung Univ.","한성대입구","0419","한성대입구","04호선"
"동대문","3","420","Hyehwa","혜화","0420","혜화","04호선"
"동대문역사문화공원","2","421","Dongdaemun","동대문","0421","동대문","04호선"
"충무로","3","422","Dongdaemun History  Culture Park","동대문역사문화공원","0422","동대문역사문화공원","04호선"
"명동","2","423","Chungmuro","충무로","0423","충무로","04호선"
"회현","2","424","Myeong-dong","명동","0424","명동","04호선"
"서울역","2","425","Hoehyeon","회현","0425","회현","04호선"
"숙대입구","2","426","Seoul Station","서울역","0426","서울역","04호선"
"삼각지","2","427","Sookmyung Women`s Univ.","숙대입구","0427","숙대입구","04호선"
"신용산","2","428","Samgakji","삼각지","0428","삼각지","04호선"
"이촌","2","429","Sinyongsan","신용산","0429","신용산","04호선"
"동작","4","430","Ichon","이촌","0430","이촌","04호선"
"총신대입구","3","431","Dongjak","동작","0431","동작","04호선"
"사당","2","432","Chongshin Univ.","총신대입구","0432","총신대입구","04호선"
"남태령","2","433","Sadang","사당","0433","사당","04호선"
"선바위","3","434","Namtaeryeong","남태령","0434","남태령","04호선"
"경마공원","2","435","Seonbawi","선바위","1450","선바위","04호선"
"대공원","2","436","Seoul Racecourse Park","경마공원","1451","경마공원","04호선"
"과천","2","437","Seoul Grand Park","대공원","1452","대공원","04호선"
"정부과천청사","2","438","Gwacheon","과천","1453","과천","04호선"
"인덕원","4","439","Government Complex Gwacheon","정부과천청사","1454","정부과천청사","04호선"
"평촌","3","440","Indeogwon","인덕원","1455","인덕원","04호선"
"범계","2","441","Pyeongchon","평촌","1456","평촌","04호선"
"금정","4","442","Beomgye","범계","1457","범계","04호선"
"산본","4","443","Geumjeong","금정","1458","금정","04호선"
"대야미","5","444","Sanbon","산본","1751","산본","04호선"
"반월","3","446","Daeyami","대야미","1752","대야미","04호선"
"상록수","4","447","Banwol","반월","1753","반월","04호선"
"한대앞","2","448","Sangnoksu","상록수","1754","상록수","04호선"
"중앙","2","449","Hanyang Univ. at Ansan","한대앞","1755","한대앞","04호선"
"고잔","2","450","Jungang","중앙","1756","중앙","04호선"
"초지","3","451","Gojan","고잔","1757","고잔","04호선"
"안산","3","452","Choji","초지","1758","초지","04호선"
"신길온천","3","453","Ansan","안산","1759","안산","04호선"
"정왕","4","454","Neunggil","신길온천","1760","신길온천","04호선"
"오이도","3","455","Jeongwang","정왕","1761","정왕","04호선"
"도봉산","5","709","Jangam","장암","2711","장암","07호선"
"수락산","3","710","Dobongsan","도봉산","2712","도봉산","07호선"
"마들","3","711","Suraksan","수락산","2713","수락산","07호선"
"노원","2","712","Madeul","마들","2714","마들","07호선"
"중계","2","713","Nowon","노원","2715","노원","07호선"
"하계","2","714","Junggye","중계","2716","중계","07호선"
"공릉","2","7151","Hagye","하계","2717","하계","07호선"
"태릉입구","2","716","Gongneung","공릉","2718","공릉","07호선"
"먹골","2","717","Taereung","태릉입구","2719","태릉입구","07호선"
"중화","2","718","Meokgol","먹골","2720","먹골","07호선"
"상봉","2","719","Junghwa","중화","2721","중화","07호선"
"면목","2","720","Sangbong","상봉","2722","상봉","07호선"
"사가정","2","721","Myeonmok","면목","2723","면목","07호선"
"용마산","2","722","Sagajeong","사가정","2724","사가정","07호선"
"중곡","2","723","Yongmasan","용마산","2725","용마산","07호선"
"군자","2","724","Junggok","중곡","2726","중곡","07호선"
"어린이대공원","2","725","Gunja","군자","2727","군자","07호선"
"건대입구","2","726","Children`s  Grand Park","어린이대공원","2728","어린이대공원","07호선"
"뚝섬유원지","2","727","Konkuk Univ.","건대입구","2729","건대입구","07호선"
"청담","3","728","Ttukseom Park","뚝섬유원지","2730","뚝섬유원지","07호선"
"강남구청","2","729","Cheongdam","청담","2731","청담","07호선"
"학동","2","730","Gangnam-gu Office","강남구청","2732","강남구청","07호선"
"논현","2","731","Hak-dong","학동","2733","학동","07호선"
"반포","2","732","Nonhyeon","논현","2734","논현","07호선"
"고속터미널","2","733","Banpo","반포","2735","반포","07호선"
"내방","3","734","Express Bus Terminal","고속터미널","2736","고속터미널","07호선"
"이수","2","735","Naebang","내방","2737","내방","07호선"
"남성","2","736","Isu","이수","2738","이수","07호선"
"숭실대입구","3","737","Namseong","남성","2739","남성","07호선"
"상도","2","738","Soongsil Univ.","숭실대입구","2740","숭실대입구","07호선"
"장승배기","2","739","Sangdo","상도","2741","상도","07호선"
"신대방삼거리","2","740","Jangseungbaegi","장승배기","2742","장승배기","07호선"
"보라매","2","741","Sindaebangsamgeori","신대방삼거리","2743","신대방삼거리","07호선"
"신풍","2","742","Boramae","보라매","2744","보라매","07호선"
"대림","3","743","Sinpung","신풍","2745","신풍","07호선"
"남구로","2","744","Daerim","대림","2746","대림","07호선"
"가산디지털단지","2","745","Namguro","남구로","2747","남구로","07호선"
"철산","3","746","Gasan Digital Complex","가산디지털단지","2748","가산디지털단지","07호선"
"광명사거리","2","747","Cheolsan","철산","2749","철산","07호선"
"천왕","3","748","Gwangmyeongsageori","광명사거리","2750","광명사거리","07호선"
"온수","3","749","Cheonwang","천왕","2751","천왕","07호선"
"까치울","3","750","Onsu","온수","2752","온수","07호선"
"부천종합운동장","2","751","Kkachiul","까치울","2753","까치울","07호선"
"춘의","2","752","Bucheon Stadium","부천종합운동장","2754","부천종합운동장","07호선"
"신중동","2","753","Chunui","춘의","2755","춘의","07호선"
"부천시청","2","754","Sinjung-dong","신중동","2756","신중동","07호선"
"상동","2","755","Bucheon City Hall","부천시청","2757","부천시청","07호선"
"삼산체육관","2","756","Sang-dong","상동","2758","상동","07호선"
"굴포천","2","757","Samsan Gymnasium","삼산체육관","2759","삼산체육관","07호선"
"부평구청","2","758","Gulpocheon","굴포천","2760","굴포천","07호선"
"산곡","2","759","Bupyeong-gu Office","부평구청","2761","부평구청","07호선"
"역촌","2","610","Eungam","응암","2611","응암","06호선"
"불광","2","611","Yeokchon","역촌","2612","역촌","06호선"
"독바위","2","612","Bulgwang","불광","2613","불광","06호선"
"연신내","3","613","Dokbawi","독바위","2614","독바위","06호선"
"구산","2","614","Yeonsinnae","연신내","2615","연신내","06호선"
"새절","4","615","Gusan","구산","2616","구산","06호선"
"증산","2","616","Saejeol","새절","2617","새절","06호선"
"디지털미디어시티","2","617","Jeungsan","증산","2618","증산","06호선"
"월드컵경기장","2","618","Digital Media City","디지털미디어시티","2619","디지털미디어시티","06호선"
"마포구청","2","619","World Cup Stadium","월드컵경기장","2620","월드컵경기장","06호선"
"망원","2","620","Mapo-gu Office","마포구청","2621","마포구청","06호선"
"합정","2","621","Mangwon","망원","2622","망원","06호선"
"상수","2","622","Hapjeong","합정","2623","합정","06호선"
"광흥창","2","623","Sangsu","상수","2624","상수","06호선"
"대흥","2","624","Gwangheungchang","광흥창","2625","광흥창","06호선"
"공덕","2","625","Daeheung","대흥","2626","대흥","06호선"
"효창공원앞","2","626","Gongdeok","공덕","2627","공덕","06호선"
"삼각지","2","627","Hyochang park","효창공원앞","2628","효창공원앞","06호선"
"녹사평","2","628","Samgakji","삼각지","2629","삼각지","06호선"
"이태원","2","629","Noksapyeong","녹사평","2630","녹사평","06호선"
"한강진","2","630","Itaewon","이태원","2631","이태원","06호선"
"버티고개","2","631","Hangangjin","한강진","2632","한강진","06호선"
"약수","2","632","Beotigogae","버티고개","2633","버티고개","06호선"
"청구","2","633","Yaksu","약수","2634","약수","06호선"
"신당","2","634","Cheonggu","청구","2635","청구","06호선"
"동묘앞","2","635","Sindang","신당","2636","신당","06호선"
"창신","2","636","Dongmyo","동묘앞","2637","동묘앞","06호선"
"보문","2","637","Changsin","창신","2638","창신","06호선"
"안암","2","638","Bomun","보문","2639","보문","06호선"
"고려대","2","639","Anam","안암","2640","안암","06호선"
"월곡","2","640","Korea Univ.","고려대","2641","고려대","06호선"
"상월곡","2","641","Wolgok","월곡","2642","월곡","06호선"
"돌곶이","2","642","Sangwolgok","상월곡","2643","상월곡","06호선"
"석계","2","643","Dolgoji","돌곶이","2644","돌곶이","06호선"
"태릉입구","2","644","Seokgye","석계","2645","석계","06호선"
"화랑대","2","645","Taereung","태릉입구","2646","태릉입구","06호선"
"봉화산","2","646","Hwarangdae","화랑대","2647","화랑대","06호선"
