출발지전철역,도착지전철역,역간소요분
보산,동두천중앙,3
동두천중앙,지행,2
지행,덕정,6
덕정,덕계,4
덕계,양주,6
양주,녹양,3
녹양,가능,2
가능,의정부,3
의정부,회룡,3
회룡,망월사,2
망월사,도봉산,3
도봉산,도봉,2
도봉,방학,2
방학,창동,3
창동,녹천,2
녹천,월계,3
월계,광운대,3
광운대,석계,3
석계,신이문,2
신이문,외대앞,2
외대앞,회기,2
회기,청량리,3
청량리,제기동,2
제기동,신설동,2
신설동,동묘앞,2
동묘앞,동대문,2
동대문,종로5가,2
종로5가,종로3가,2
종로3가,종각,2
종각,시청,3
시청,서울역,2
서울역,남영,3
남영,용산,3
용산,노량진,4
노량진,대방,3
대방,신길,2
신길,영등포,3
영등포,신도림,3
신도림,구로,2
구로,구일,3
구일,개봉,2
개봉,오류동,3
오류동,온수,3
온수,역곡,2
역곡,소사,3
소사,부천,2
부천,중동,3
중동,송내,2
송내,부개,2
부개,부평,3
부평,백운,3
백운,동암,3
동암,간석,3
간석,주안,2
주안,도화,2
도화,제물포,2
제물포,도원,3
도원,동인천,2
동인천,인천,4
구로,가산디지털단지,5
가산디지털단지,독산,3
독산,금천구청,2
금천구청,광명,5
금천구청,석수,3
석수,관악,3
관악,안양,3
안양,명학,3
명학,금정,3
금정,군포,3
군포,당정,3
당정,의왕,4
의왕,성균관대,4
성균관대,화서,4
화서,수원,3
수원,세류,4
세류,병점,4
병점,서동탄,3
병점,세마,3
세마,오산대,3
오산대,오산,4
오산,진위,4
진위,송탄,4
송탄,서정리,3
서정리,평택지제,5
평택지제,평택,5
평택,성환,8
성환,직산,5
직산,두정,5
두정,천안,4
천안,봉명,3
봉명,쌍용,3
쌍용,아산,3
아산,배방,5
배방,온양온천,5
온양온천,신창,5
청계산입구,판교,7
판교,정자,3
정자,미금,3
미금,동천,3
동천,수지구청,3
수지구청,성복,3
성복,상현,3
상현,광교중앙,3
광교중앙,광교,3
강남,양재,2
양재,양재시민의숲,2
양재시민의숲,청계산입구,3
대화,주엽,3
주엽,정발산,3
정발산,마두,2
마두,백석,3
백석,대곡,4
대곡,화정,3
화정,원당,4
원당,원흥,4
원흥,삼송,3
삼송,지축,3
지축,구파발,4
구파발,연신내,3
연신내,불광,2
불광,녹번,2
녹번,홍제,3
홍제,무악재,2
무악재,독립문,2
독립문,경복궁,3
경복궁,안국,2
안국,종로3가,2
종로3가,을지로3가,2
