bus_route_id,bus_route_nm,seq,st_id,ars_id,st_nm,gps_x,gps_y,pos_x,pos_y,dist_next_st,time_next_st,trn_st_id,city_nm
104000007,01A,18,101000073,02172,을지로6가.국립중앙의료원,127.0058282626,37.5664064222,,,,,,서울
104000007,01A,19,101000066,02165,을지로5가,126.9992630956,37.566755096,,,,,,서울
104000007,01A,20,101000063,02162,을지로4가,126.9962218644,37.5666038467,,,,,,서울
104000007,01A,21,101000061,02160,을지로3가,126.990379454,37.566313373,,,,,,서울
104000007,01A,22,101000059,02158,을지로2가.기업은행본점.서울노동청,126.9865270687,37.5661750187,,,,,,서울
104000007,01A,23,101000041,02140,롯데백화점,126.9821793435,37.5644712444,,,,,,서울
104000007,01A,24,101000032,02127,북창동.남대문시장,126.9779334764,37.5610812855,,,,,,서울
104000007,01A,25,101000329,02099,숭례문(가상),126.9744890187,37.5597629406,,,,,,서울
104000007,01A,26,101000006,02006,서울역버스환승센터,126.9727726582,37.5554752628,,,,,,서울
104000007,01A,27,101000018,02110,경찰청.동북아역사재단,126.9690060167,37.5629931372,,,,,,서울
104000007,01A,28,101000020,02113,서대문경찰서.농협은행.유관순활동터,126.9676562745,37.5648478757,,,,,,서울
104000007,01A,29,100000073,01168,서대문.서울시교육청,126.9644319566,37.5681995005,,,,,,서울
104000007,01A,30,100000075,01171,독립문,126.9614824815,37.571119893,,,,,,서울
104000007,01A,31,100000033,01128,사직단,126.9680704944,37.5749465941,,,,,,서울
104000007,01A,32,100000032,01127,서울지방경찰청.경복궁역,126.9714954531,37.5759010413,,,,,,서울
104000007,01A,33,100000022,01117,경복궁,126.9787204661,37.5756938103,,,,,,서울
104000007,01A,34,100000104,01200,안국역.종로경찰서.인사동,126.9841842323,37.5758656523,,,,,,서울
104000007,01A,35,100000103,01199,창덕궁.우리소리박물관,126.9886344578,37.5772989287,,,,,,서울
104000007,01A,36,100000414,01209,창덕궁.돈화문국악당,126.991061212,37.5774776278,,,,,,서울
104000007,01A,37,100000159,01256,원남동사거리,126.9982123686,37.5757861716,,,,,,서울
