외부코드,전철명명(영문),전철역명,전철역코드,호선,출발지전철역,도착지전철역,역간소요분,
D13,Migeum,미금,4313,신분당선,미금,동천,3,
D14,Dongcheon,동천,4314,신분당선,동천,수지구청,3,
D15,Suji-gu office,수지구청,4315,신분당선,수지구청,성복,3,
D16,Seongbok,성복,4316,신분당선,성복,상현,3,
D17,Sanghyeon,상현,4317,신분당선,상현,광교중앙,3,
D18,GwanggyoJungang,광교중앙,4318,신분당선,광교중앙,광교,3,
D7,Gangnam,강남,4307,신분당선,강남,양재,2,
D8,Yangjae,양재,4308,신분당선,양재,양재시민의숲,2,
D9,Yangjae Park,양재시민의숲,4309,신분당선,양재시민의숲,청계산입구,3,
309,Daehwa,대화,1958,3호선,대화,주엽,3,
310,Juyeop,주엽,1957,3호선,주엽,정발산,3,
311,Jeongbalsan,정발산,1956,3호선,정발산,마두,2,
312,Madu,마두,1955,3호선,마두,백석,3,
313,Baekseok,백석,1954,3호선,백석,대곡,4,
314,Daegok,대곡,1953,3호선,대곡,화정,3,
315,Hwajeong,화정,1952,3호선,화정,원당,4,
316,Wondang,원당,1951,3호선,원당,원흥,4,
317,Wonheung,원흥,1948,3호선,원흥,삼송,3,
318,Samsong,삼송,1950,3호선,삼송,지축,3,
319,Jichuk,지축,309,3호선,지축,구파발,4,
320,Gupabal,구파발,310,3호선,구파발,연신내,3,
321,Yeonsinnae,연신내,311,3호선,연신내,불광,2,
322,Bulgwang,불광,312,3호선,불광,녹번,2,
323,Nokbeon,녹번,313,3호선,녹번,홍제,3,
324,Hongje,홍제,314,3호선,홍제,무악재,2,
325,Muakjae,무악재,315,3호선,무악재,독립문,2,
326,Dongnimmun,독립문,316,3호선,독립문,경복궁,3,
327,Gyeongbokgung,경복궁,317,3호선,경복궁,안국,2,
328,Anguk,안국,318,3호선,안국,종로3가,2,
329,Jongno 3(sam)-ga,종로3가,319,3호선,종로3가,을지로3가,2,
330,Euljiro 3(sam)-ga,을지로3가,320,3호선,을지로3가,충무로,2,
331,Chungmuro,충무로,321,3호선,충무로,동대입구,2,
332,Dongguk Univ.,동대입구,322,3호선,동대입구,약수,2,
333,Yaksu,약수,323,3호선,약수,금호,2,
334,Geumho,금호,324,3호선,금호,옥수,2,
335,Oksu,옥수,325,3호선,옥수,압구정,3,
336,Apgujeong,압구정,326,3호선,압구정,신사,3,
337,Sinsa,신사,327,3호선,신사,잠원,2,
338,Jamwon,잠원,328,3호선,잠원,고속터미널,2,
339,Express Bus Terminal,고속터미널,329,3호선,고속터미널,교대,3,
340,Seoul Nat`l Univ. of Education,교대,330,3호선,교대,남부터미널,2,
341,Nambu Bus Terminal,남부터미널,331,3호선,남부터미널,양재,3,
342,Yangjae,양재,332,3호선,양재,매봉,3,
343,Maebong,매봉,333,3호선,매봉,도곡,2,
344,Dogok,도곡,334,3호선,도곡,대치,2,
345,Daechi,대치,335,3호선,대치,학여울,2,
346,Hangnyeoul,학여울,336,3호선,학여울,대청,2,
347,Daecheong,대청,337,3호선,대청,일원,2,
348,Irwon,일원,338,3호선,일원,수서,3,
349,Suseo,수서,339,3호선,수서,가락시장,2,
350,Garak Market,가락시장,340,3호선,가락시장,경찰병원,2,
351,National Police Hospital,경찰병원,341,3호선,경찰병원,오금,2,
I110,Gyeyang,계양,3110,인천1호선,계양,귤현,3,
I111,Gyulhyeon,귤현,3111,인천1호선,귤현,박촌,3,
I112,Bakchon,박촌,3112,인천1호선,박촌,임학,2,
I113,Imhak,임학,3113,인천1호선,임학,계산,2,
I114,Gyesan,계산,3114,인천1호선,계산,경인교대입구,3,
I115,Gyeong-in Nat`l Univ. of Education,경인교대입구,3115,인천1호선,경인교대입구,작전,2,
I116,Jakjeon,작전,3116,인천1호선,작전,갈산,2,
I117,Galsan,갈산,3117,인천1호선,갈산,부평구청,2,
I118,Bupyeong-gu Office,부평구청,3118,인천1호선,부평구청,부평시장,2,
I119,Bupyeong Market,부평시장,3119,인천1호선,부평시장,부평,2,
I120,Bupyeong,부평,3120,인천1호선,부평,동수,2,
I121,Dongsu,동수,3121,인천1호선,동수,부평삼거리,2,
I122,Bupyeongsamgeori,부평삼거리,3122,인천1호선,부평삼거리,간석오거리,2,
I123,Ganseogogeori,간석오거리,3123,인천1호선,간석오거리,인천시청,3,
I124,Incheon City Hall,인천시청,3124,인천1호선,인천시청,예술회관,2,
I125,Arts Center,예술회관,3125,인천1호선,예술회관,인천터미널,2,
I126,Incheon Bus Terminal,인천터미널,3126,인천1호선,인천터미널,문학경기장,2,
I127,Munhak Sports Complex,문학경기장,3127,인천1호선,문학경기장,선학,2,
I128,Seonhak,선학,3128,인천1호선,선학,신연수,2,
I129,Sinyeonsu,신연수,3129,인천1호선,신연수,원인재,2,
I130,Woninjae,원인재,3130,인천1호선,원인재,동춘,2,
I131,Dongchun,동춘,3131,인천1호선,동춘,동막,2,
I132,Dongmak,동막,3132,인천1호선,동막,캠퍼스타운,3,
I133,Campus Town,캠퍼스타운,3133,인천1호선,캠퍼스타운,테크노파크,2,
I134,Technopark,테크노파크,3134,인천1호선,테크노파크,지식정보단지,3,
I135,BIT Zone,지식정보단지,3135,인천1호선,지식정보단지,인천대입구,2,
I136,Incheon Nat'l Univ.,인천대입구,3136,인천1호선,인천대입구,센트럴파크,2,
I137,Central Park,센트럴파크,3137,인천1호선,센트럴파크,국제업무지구,1,
I138,International area,송도달빛축제공원,3138,인천1호선,국제업무지구,송도달빛축제공원,2,
201,City Hall,시청,201,2호선,시청,을지로입구,2,
202,Euljiro 1(il)-ga,을지로입구,202,2호선,을지로입구,을지로3가,2,
203,Euljiro 3(sam)-ga,을지로3가,203,2호선,을지로3가,을지로4가,2,
204,Euljiro 4(sa)-ga,을지로4가,204,2호선,을지로4가,동대문역사문화공원,2,
205,Dongdaemun History  Culture Park,동대문역사문화공원,205,2호선,동대문역사문화공원,신당,2,
206,Sindang,신당,206,2호선,신당,상왕십리,2,
207,Sangwangsimni,상왕십리,207,2호선,상왕십리,왕십리,2,
208,Wangsimni,왕십리,208,2호선,왕십리,한양대,2,
209,Hanyang Univ.,한양대,209,2호선,한양대,뚝섬,2,
210,Ttukseom,뚝섬,210,2호선,뚝섬,성수,2,
211,Seongsu,성수,211,2호선,성수,용답,4,
211-1,Yongdap,용답,244,2호선,용답,신답,2,
211-2,Sindap,신답,245,2호선,신답,용두,2,
211-3,Yongdu,용두,246,2호선,용두,신설동,2,
211-4,Seongsu,성수,211,2호선,성수,건대입구,3,
212,Konkuk Univ.,건대입구,212,2호선,건대입구,구의,3,
213,Guui,구의,213,2호선,구의,강변,2,
214,Gangbyeon,강변,214,2호선,강변,잠실나루,3,
215,Jamsillaru,잠실나루,215,2호선,잠실나루,잠실,2,
216,Jamsil,잠실,216,2호선,잠실,잠실새내,2,
217,Jamsilsaenae,잠실새내,217,2호선,잠실새내,종합운동장,2,
218,Sports Complex,종합운동장,218,2호선,종합운동장,삼성,2,
219,Samseong,삼성,219,2호선,삼성,선릉,2,
220,Seolleung,선릉,220,2호선,선릉,역삼,3,
221,Yeoksam,역삼,221,2호선,역삼,강남,2,
222,Gangnam,강남,222,2호선,강남,교대,2,
223,Seoul Nat`l Univ. of Education,교대,223,2호선,교대,서초,2,
224,Seocho,서초,224,2호선,서초,방배,3,
225,Bangbae,방배,225,2호선,방배,사당,3,
226,Sadang,사당,226,2호선,사당,낙성대,3,
227,Nakseongdae,낙성대,227,2호선,낙성대,서울대입구,2,
228,Seoul Nat`l Univ.,서울대입구,228,2호선,서울대입구,봉천,2,
229,Bongcheon,봉천,229,2호선,봉천,신림,2,
230,Sillim,신림,230,2호선,신림,신대방,3,
231,Sindaebang,신대방,231,2호선,신대방,구로디지털단지,2,
232,Guro Digital Complex,구로디지털단지,232,2호선,구로디지털단지,대림,2,
233,Daerim,대림,233,2호선,대림,신도림,3,
234,Sindorim,신도림,234,2호선,신도림,도림천,2,
234-1,Dorimcheon,도림천,247,2호선,도림천,양천구청,3,
234-2,Yangcheon-gu Office,양천구청,248,2호선,양천구청,신정네거리,4,
234-3,Sinjeongnegeori,신정네거리,249,2호선,신정네거리,까치산,3,
234-4,Sindorim,신도림,234,2호선,신도림,문래,3,
235,Mullae,문래,235,2호선,문래,영등포구청,2,
236,Yeongdeungpo-gu Office,영등포구청,236,2호선,영등포구청,당산,2,
237,Dangsan,당산,237,2호선,당산,합정,3,
238,Hapjeong,합정,238,2호선,합정,홍대입구,2,
239,Hongik Univ.,홍대입구,239,2호선,홍대입구,신촌,3,
240,Sinchon,신촌,240,2호선,신촌,이대,2,
241,Ewha Womans Univ.,이대,241,2호선,이대,아현,2,
242,Ahyeon,아현,242,2호선,아현,충정로,2,
243,Chungjeongno,충정로,243,2호선,충정로,시청,2,
510,Banghwa,방화,2511,5호선,방화,개화산,2,
511,Gaehwasan,개화산,2512,5호선,개화산,김포공항,2,
512,Gimpo Intl. Airport,김포공항,2513,5호선,김포공항,송정,2,
513,Songjeong,송정,2514,5호선,송정,마곡,2,
514,Magok,마곡,2515,5호선,마곡,발산,2,
515,Balsan,발산,2516,5호선,발산,우장산,2,
516,Ujangsan,우장산,2517,5호선,우장산,화곡,2,
517,Hwagok,화곡,2518,5호선,화곡,까치산,2,
518,Kkachisan,까치산,2519,5호선,까치산,신정,2,
519,Sinjeong,신정,2520,5호선,신정,목동,2,
520,Mok-dong,목동,2521,5호선,목동,오목교,2,
521,Omokgyo,오목교,2522,5호선,오목교,양평,2,
522,Yangpyeong,양평,2523,5호선,양평,영등포구청,2,
523,Yeongdeungpo-gu Office,영등포구청,2524,5호선,영등포구청,영등포시장,2,
524,Yeongdeungpo Market,영등포시장,2525,5호선,영등포시장,신길,2,
525,Singil,신길,2526,5호선,신길,여의도,2,
526,Yeouido,여의도,2527,5호선,여의도,여의나루,2,
527,Yeouinaru,여의나루,2528,5호선,여의나루,마포,3,
528,Mapo,마포,2529,5호선,마포,공덕,2,
529,Gongdeok,공덕,2530,5호선,공덕,애오개,2,
530,Aeogae,애오개,2531,5호선,애오개,충정로,2,
531,Chungjeongno,충정로,2532,5호선,충정로,서대문,2,
532,Seodaemun,서대문,2533,5호선,서대문,광화문,2,
533,Gwanghwamun,광화문,2534,5호선,광화문,종로3가,2,
534,Jongno 3(sam)-ga,종로3가,2535,5호선,종로3가,을지로4가,2,
535,Euljiro 4(sa)-ga,을지로4가,2536,5호선,을지로4가,동대문역사문화공원,2,
536,Dongdaemun History  Culture Park,동대문역사문화공원,2537,5호선,동대문역사문화공원,청구,2,
5371,Cheonggu,청구,2538,5호선,청구,신금호,2,
538,Singeumho,신금호,2539,5호선,신금호,행당,2,
539,Haengdang,행당,2540,5호선,행당,왕십리,2,
540,Wangsimni,왕십리,2541,5호선,왕십리,마장,2,
541,Majang,마장,2542,5호선,마장,답십리,2,
542,Dapsimni,답십리,2543,5호선,답십리,장한평,2,
543,Janghanpyeong,장한평,2544,5호선,장한평,군자,2,
544,Gunja,군자,2545,5호선,군자,아차산,2,
545,Achasan,아차산,2546,5호선,아차산,광나루,2,
546,Gwangnaru,광나루,2547,5호선,광나루,천호,3,
547,Cheonho,천호,2548,5호선,천호,강동,2,
548,Gangdong,강동,2549,5호선,강동,길동,2,
549,Gil-dong,길동,2550,5호선,길동,굽은다리,2,
550,Gubeundari,굽은다리,2551,5호선,굽은다리,명일,2,
551,Myeongil,명일,2552,5호선,명일,고덕,2,
552,Godeok,고덕,2553,5호선,고덕,상일동,2,
553,Sangil-dong,상일동,2554,5호선,상일동,강일,2,
554,Gangil,강일,2562,5호선,강일,미사,2,
555,Misa,미사,2563,5호선,미사,하남풍산,3,
556,Hanam Pungsan,하남풍산,2564,5호선,하남풍산,하남시청,2,
557,Hanam City Hall,하남시청,2565,5호선,하남시청,하남검단산,3,
P548,Gangdong,강동,2549,5호선,강동,둔촌동,2,
P549,Dunchon-dong,둔촌동,2555,5호선,둔촌동,올림픽공원,2,
P550,Olympic Park,올림픽공원,2556,5호선,올림픽공원,방이,2,
P551,Bangi,방이,2557,5호선,방이,오금,2,
P552,Ogeum,오금,2558,5호선,오금,개롱,2,
P553,Gaerong,개롱,2559,5호선,개롱,거여,2,
P554,Geoyeo,거여,2560,5호선,거여,마천,2,
409,Danggogae,당고개,409,4호선,당고개,상계,2,
410,Sanggye,상계,410,4호선,상계,노원,2,
411,Nowon,노원,411,4호선,노원,창동,3,
412,Chang-dong,창동,412,4호선,창동,쌍문,2,
413,Ssangmun,쌍문,413,4호선,쌍문,수유,3,
414,Suyu,수유,414,4호선,수유,미아,2,
415,Mia,미아,415,4호선,미아,미아사거리,3,
416,Miasamgeori,미아사거리,416,4호선,미아사거리,길음,2,
417,Gireum,길음,417,4호선,길음,성신여대입구,3,
418,Sungshin Women`s Univ.,성신여대입구,418,4호선,성신여대입구,한성대입구,2,
419,Hansung Univ.,한성대입구,419,4호선,한성대입구,혜화,2,
420,Hyehwa,혜화,420,4호선,혜화,동대문,3,
421,Dongdaemun,동대문,421,4호선,동대문,동대문역사문화공원,2,
422,Dongdaemun History  Culture Park,동대문역사문화공원,422,4호선,동대문역사문화공원,충무로,3,
423,Chungmuro,충무로,423,4호선,충무로,명동,2,
424,Myeong-dong,명동,424,4호선,명동,회현,2,
425,Hoehyeon,회현,425,4호선,회현,서울역,2,
426,Seoul Station,서울역,426,4호선,서울역,숙대입구,2,
427,Sookmyung Women`s Univ.,숙대입구,427,4호선,숙대입구,삼각지,2,
428,Samgakji,삼각지,428,4호선,삼각지,신용산,2,
429,Sinyongsan,신용산,429,4호선,신용산,이촌,2,
430,Ichon,이촌,430,4호선,이촌,동작,4,
431,Dongjak,동작,431,4호선,동작,총신대입구(이수),3,
432,Chongshin Univ.,총신대입구(이수),432,4호선,총신대입구(이수),사당,2,
433,Sadang,사당,433,4호선,사당,남태령,2,
434,Namtaeryeong,남태령,434,4호선,남태령,선바위,3,
435,Seonbawi,선바위,1450,4호선,선바위,경마공원,2,
436,Seoul Racecourse Park,경마공원,1451,4호선,경마공원,대공원,2,
437,Seoul Grand Park,대공원,1452,4호선,대공원,과천,2,
438,Gwacheon,과천,1453,4호선,과천,정부과천청사,2,
439,Government Complex Gwacheon,정부과천청사,1454,4호선,정부과천청사,인덕원,4,
440,Indeogwon,인덕원,1455,4호선,인덕원,평촌,3,
441,Pyeongchon,평촌,1456,4호선,평촌,범계,2,
442,Beomgye,범계,1457,4호선,범계,금정,4,
443,Geumjeong,금정,1458,4호선,금정,산본,4,
444,Sanbon,산본,1750,4호선,산본,수리산,2,
445,Surisan,수리산,1751,4호선,수리산,대야미,3,
446,Daeyami,대야미,1752,4호선,대야미,반월,3,
447,Banwol,반월,1753,4호선,반월,상록수,4,
448,Sangnoksu,상록수,1754,4호선,상록수,한대앞,2,
449,Hanyang Univ. at Ansan,한대앞,1755,4호선,한대앞,중앙,2,
450,Jungang,중앙,1756,4호선,중앙,고잔,2,
451,Gojan,고잔,1757,4호선,고잔,초지,3,
452,Choji,초지,1758,4호선,초지,안산,3,
453,Ansan,안산,1759,4호선,안산,신길온천,3,
454,Neunggil,신길온천,1760,4호선,신길온천,정왕,4,
455,Jeongwang,정왕,1761,4호선,정왕,오이도,3,
709,Jangam,장암,2711,7호선,장암,도봉산,5,
710,Dobongsan,도봉산,2712,7호선,도봉산,수락산,3,
711,Suraksan,수락산,2713,7호선,수락산,마들,3,
712,Madeul,마들,2714,7호선,마들,노원,2,
713,Nowon,노원,2715,7호선,노원,중계,2,
714,Junggye,중계,2716,7호선,중계,하계,2,
7151,Hagye,하계,2717,7호선,하계,공릉,2,
716,Gongneung,공릉,2718,7호선,공릉,태릉입구,2,
717,Taereung,태릉입구,2719,7호선,태릉입구,먹골,2,
718,Meokgol,먹골,2720,7호선,먹골,중화,2,
719,Junghwa,중화,2721,7호선,중화,상봉,2,
720,Sangbong,상봉,2722,7호선,상봉,면목,2,
721,Myeonmok,면목,2723,7호선,면목,사가정,2,
722,Sagajeong,사가정,2724,7호선,사가정,용마산,2,
723,Yongmasan,용마산,2725,7호선,용마산,중곡,2,
724,Junggok,중곡,2726,7호선,중곡,군자,2,
725,Gunja,군자,2727,7호선,군자,어린이대공원,2,
726,Children`s  Grand Park,어린이대공원,2728,7호선,어린이대공원,건대입구,2,
727,Konkuk Univ.,건대입구,2729,7호선,건대입구,뚝섬유원지,2,
728,Ttukseom Park,뚝섬유원지,2730,7호선,뚝섬유원지,청담,3,
729,Cheongdam,청담,2731,7호선,청담,강남구청,2,
730,Gangnam-gu Office,강남구청,2732,7호선,강남구청,학동,2,
731,Hak-dong,학동,2733,7호선,학동,논현,2,
732,Nonhyeon,논현,2734,7호선,논현,반포,2,
733,Banpo,반포,2735,7호선,반포,고속터미널,2,
734,Express Bus Terminal,고속터미널,2736,7호선,고속터미널,내방,3,
735,Naebang,내방,2737,7호선,내방,총신대입구(이수),2,
736,Chongshin Univ.,총신대입구(이수),2738,7호선,총신대입구(이수),남성,2,
737,Namseong,남성,2739,7호선,남성,숭실대입구,3,
738,Soongsil Univ.,숭실대입구,2740,7호선,숭실대입구,상도,2,
739,Sangdo,상도,2741,7호선,상도,장승배기,2,
740,Jangseungbaegi,장승배기,2742,7호선,장승배기,신대방삼거리,2,
741,Sindaebangsamgeori,신대방삼거리,2743,7호선,신대방삼거리,보라매,2,
742,Boramae,보라매,2744,7호선,보라매,신풍,2,
743,Sinpung,신풍,2745,7호선,신풍,대림,3,
744,Daerim,대림,2746,7호선,대림,남구로,2,
745,Namguro,남구로,2747,7호선,남구로,가산디지털단지,2,
746,Gasan Digital Complex,가산디지털단지,2748,7호선,가산디지털단지,철산,3,
747,Cheolsan,철산,2749,7호선,철산,광명사거리,2,
748,Gwangmyeongsageori,광명사거리,2750,7호선,광명사거리,천왕,3,
749,Cheonwang,천왕,2751,7호선,천왕,온수,3,
750,Onsu,온수,2752,7호선,온수,까치울,3,
751,Kkachiul,까치울,2753,7호선,까치울,부천종합운동장,2,
752,Bucheon Stadium,부천종합운동장,2754,7호선,부천종합운동장,춘의,2,
753,Chunui,춘의,2755,7호선,춘의,신중동,2,
754,Sinjung-dong,신중동,2756,7호선,신중동,부천시청,2,
755,Bucheon City Hall,부천시청,2757,7호선,부천시청,상동,2,
756,Sang-dong,상동,2758,7호선,상동,삼산체육관,2,
757,Samsan Gymnasium,삼산체육관,2759,7호선,삼산체육관,굴포천,2,
758,Gulpocheon,굴포천,2760,7호선,굴포천,부평구청,2,
759,Bupyeong-gu Office,부평구청,2761,7호선,부평구청,산곡,2,
760,Sangok,산곡,2762,7호선,산곡,석남,3,
610,Eungam,응암,2611,6호선,응암,역촌,2,
611,Yeokchon,역촌,2612,6호선,역촌,불광,2,
612,Bulgwang,불광,2613,6호선,불광,독바위,2,
613,Dokbawi,독바위,2614,6호선,독바위,연신내,3,
614,Yeonsinnae,연신내,2615,6호선,연신내,구산,2,
615,Gusan,구산,2616,6호선,구산,응암,3,
610-1,Eungam,응암,2611,6호선,응암,새절,2,
616,Saejeol,새절,2617,6호선,새절,증산,2,
617,Jeungsan,증산,2618,6호선,증산,디지털미디어시티,2,
618,Digital Media City,디지털미디어시티,2619,6호선,디지털미디어시티,월드컵경기장,2,
619,World Cup Stadium,월드컵경기장,2620,6호선,월드컵경기장,마포구청,2,
620,Mapo-gu Office,마포구청,2621,6호선,마포구청,망원,2,
621,Mangwon,망원,2622,6호선,망원,합정,2,
622,Hapjeong,합정,2623,6호선,합정,상수,2,
623,Sangsu,상수,2624,6호선,상수,광흥창,2,
624,Gwangheungchang,광흥창,2625,6호선,광흥창,대흥,2,
625,Daeheung,대흥,2626,6호선,대흥,공덕,2,
626,Gongdeok,공덕,2627,6호선,공덕,효창공원앞,2,
627,Hyochang park,효창공원앞,2628,6호선,효창공원앞,삼각지,2,
628,Samgakji,삼각지,2629,6호선,삼각지,녹사평,2,
629,Noksapyeong,녹사평,2630,6호선,녹사평,이태원,2,
630,Itaewon,이태원,2631,6호선,이태원,한강진,2,
631,Hangangjin,한강진,2632,6호선,한강진,버티고개,2,
632,Beotigogae,버티고개,2633,6호선,버티고개,약수,2,
633,Yaksu,약수,2634,6호선,약수,청구,2,
634,Cheonggu,청구,2635,6호선,청구,신당,2,
635,Sindang,신당,2636,6호선,신당,동묘앞,2,
636,Dongmyo,동묘앞,2637,6호선,동묘앞,창신,2,
637,Changsin,창신,2638,6호선,창신,보문,2,
638,Bomun,보문,2639,6호선,보문,안암,2,
639,Anam,안암,2640,6호선,안암,고려대,2,
640,Korea Univ.,고려대,2641,6호선,고려대,월곡,2,
641,Wolgok,월곡,2642,6호선,월곡,상월곡,2,
642,Sangwolgok,상월곡,2643,6호선,상월곡,돌곶이,2,
643,Dolgoji,돌곶이,2644,6호선,돌곶이,석계,2,
644,Seokgye,석계,2645,6호선,석계,태릉입구,2,
645,Taereung,태릉입구,2646,6호선,태릉입구,화랑대,2,
646,Hwarangdae,화랑대,2647,6호선,화랑대,봉화산,2,
647,BongHwa Mountain,봉화산,2648,6호선,봉화산,신내,5,
