외부코드,전철명명(영문),전철역명,전철역코드,호선,출발지전철역,도착지전철역,역간소요분,
K112,Yongsan,용산,1007,경의중앙선,용산,이촌,4,
K825,Yongsan,용산,1262,경의중앙선,용산,효창공원앞,3,20분
K826,Hyochang Park,효창공원앞,1261,경의중앙선,효창공원앞,공덕,2,
K312,Gongdeok,공덕,1262,경의중앙선,공덕,서강대,3,
K313,Sogang Univ.,서강대,1263,경의중앙선,서강대,홍대입구,2,
K314,Hongik Univ.,홍대입구,1264,경의중앙선,홍대입구,가좌,3,
K315,Gajwa,가좌,1265,경의중앙선,가좌,디지털미디어시티,3,
K315-1,Gajwa,가좌,1265,경의중앙선,가좌,신촌,4,
P312,Sinchon,신촌(경의중앙선),1252,경의중앙선,신촌,서울역,7,
K316,Digital Media City,디지털미디어시티,1266,경의중앙선,디지털미디어시티,수색,2,
K317,Susaek,수색,1267,경의중앙선,수색,화전,4,
K318,Hwajeon,화전,1268,경의중앙선,화전,강매,3,
K319,Gangmae,강매,1269,경의중앙선,강매,행신,2,
K320,Haengsin,행신,1270,경의중앙선,행신,능곡,3,
K321,Neunggok,능곡,1271,경의중앙선,능곡,대곡,3,
K322,Daegok,대곡,300,경의중앙선,대곡,곡산,3,
K323,Goksan,곡산,1272,경의중앙선,곡산,백마,3,
K324,Baengma,백마,1273,경의중앙선,백마,풍산,3,
K325,Pungsan,풍산,1274,경의중앙선,풍산,일산,3,
K326,Ilsan,일산,1275,경의중앙선,일산,탄현,3,
K327,Tanhyeon,탄현,1276,경의중앙선,탄현,야당,3,
K328,Yadang,야당,1277,경의중앙선,야당,운정,2,
K329,Unjeong,운정,1278,경의중앙선,운정,금릉,4,
K330,Geumneung,금릉,1279,경의중앙선,금릉,금촌,3,
K331,Geumchon,금촌,1280,경의중앙선,금촌,월롱,5,
K333,Wollong,월롱,1282,경의중앙선,월롱,파주,3,
K334,Paju,파주,1283,경의중앙선,파주,문산,5,
K335,Munsan,문산,1284,경의중앙선,문산,임진강,7,
K336,Imjingang,임진강,1285,경의중앙선,임진강,,0,
A01,Seoul Station,서울역,4201,공항철도,서울역,공덕,4,
