943,우이신설경전철,k0305,4.19민주묘지,N,N,일반,127.011526,37.6495332,,39464,11,15,1501,150111,4?19민주묘지
109,1호선,S1101,가능,N,N,일반,127.044251,37.748362,한국철도공사,1033,11,1,101,10101,가능
350,3호선,S1103,가락시장,8호선,S1108,환승,127.1178996,37.49276539,서울교통공사,25074,11,1,103,10345,가락시장
817,8호선,S1108,가락시장,3호선,S1103,환승,127.1178996,37.49276539,서울교통공사,1354,11,1,108,10808,가락시장
142,1호선,S1101,가산디지털단지,7호선,S1107,환승,126.882628,37.481568,한국철도공사,1085,11,1,101,10160,가산디지털단지
737,7호선,S1107,가산디지털단지,1호선,S1101,환승,126.8825816,37.48121776,서울교통공사,17402,11,1,107,10742,가산디지털단지
916,9호선,S1109,가양,N,N,일반,126.854456,37.561391,,21907,11,1,109,10901,가양
944,우이신설경전철,k0305,가오리,N,N,일반,127.0146213,37.6415632,,39463,11,15,1501,150110,가오리
I216,인천2호선,S2802,가재울,N,N,일반,126.683883,37.484152,인천교통공사,36951,11,3,302,30201,가재울
I211,인천2호선,S2802,가정,N,N,일반,126.675387,37.524805,인천교통공사,36952,11,3,302,30202,가정
I212,인천2호선,S2802,가정중앙시장,N,N,일반,126.676784,37.517511,인천교통공사,36953,11,3,302,30203,가정중앙시장
K315,경의중앙선,k0212,가좌,서울역지선,,환승,126.914841,37.568611,한국철도공사,23231,11,10,1001,100118,가좌
K235,수인분당선,k0304,구성,N,N,일반,127.105664,37.299013,한국철도공사,1316,11,1,106,10638,구산
P134,경춘선,k0210,가평,N,N,일반,127.510693,37.814515,한국철도공사,28552,11,12,1201,120101,가평
191,1호선,S1101,간석,N,N,일반,126.693408,37.464689,한국철도공사,1078,11,1,101,10146,간석
I123,인천1호선,S2801,간석오거리,N,N,일반,126.707861,37.466921,인천교통공사,1387,11,3,301,30110,간석오거리
P123,경춘선,k0210,갈매,N,N,일반,127.114803,37.634135,한국철도공사,28553,11,12,1201,120102,갈매
I117,인천1호선,S2801,갈산,N,N,일반,126.721566,37.517124,인천교통공사,1392,11,3,301,30116,갈산
222,2호선,S1102,강남,신분당선,I1102,환승,127.0280537,37.49720244,서울교통공사,1135,11,1,102,10215,강남
D7,신분당선,I1102,강남,2호선,S1102,환승,127.0280537,37.4972,네오트렌스,28546,11,11,1101,110101,강남
721,7호선,S1107,강남구청,수인분당선,k0304,환승,127.0411628,37.51714842,서울교통공사,1333,11,1,107,10722,강남구청
K232,수인분당선,k0304,오리,N,N,일반,127.108985,37.339832,한국철도공사,1364,11,2,201,20101,오리
Y111,용인경전철,T4101,강남대,N,N,일반,127.126023,37.270171,용인경량전철㈜,28571,11,13,1301,130102,강남대
537,5호선,S1105,강동,N,N,일반,127.132079,37.53587886,서울교통공사,1275,11,1,105,10539,강동
812,8호선,S1108,강동구청,N,N,일반,127.1202691,37.53047081,서울교통공사,1350,11,1,108,10803,강동구청
K319,경의중앙선,k0212,강매,N,N,일반,126.845437,37.612596,한국철도공사,36646,11,10,1001,100124,강매
214,2호선,S1102,강변,N,N,일반,127.0946944,37.53487706,서울교통공사,1127,11,1,102,10207,강변
543,5호선,S1105,강일,N,N,일반,127.1740108,37.5574859,서울교통공사,,11,1,105,,강일
P137,경춘선,k0210,강촌,N,N,일반,127.634054,37.805728,한국철도공사,28554,11,12,1201,120103,강촌
552,5호선,S1105,개롱,N,N,일반,127.1348328,37.49782678,서울교통공사,1285,11,1,105,10549,개롱
179,1호선,S1101,개봉,N,N,일반,126.858504,37.494698,한국철도공사,1066,11,1,101,10134,개봉
K231,수인분당선,k0304,미금,신분당,I1102,환승,127.108952,37.350078,한국철도공사,1365,11,2,201,20102,미금
910,9호선,S1109,개화,N,N,일반,126.798153,37.578608,,21908,11,1,109,10902,개화
501,5호선,S1105,개화산,N,N,일반,126.8062885,37.57231242,서울교통공사,1246,11,1,105,10502,개화산
553,5호선,S1105,거여,N,N,일반,127.1436672,37.49316744,서울교통공사,1286,11,1,105,10550,거여
212,2호선,S1102,건대입구,7호선,S1107,환승,127.0700628,37.54060889,서울교통공사,1125,11,1,102,10205,건대입구
718,7호선,S1107,건대입구,2호선,S1102,환승,127.0700628,37.54060889,서울교통공사,17403,11,1,107,10743,건대입구
695,김포도시철도,L4101,걸포북변,N,N,일반,126.705778,37.63164148,김포골드라인운영㈜,39877,11,17,1701,170106,걸포북변
I203,인천2호선,S2802,검단사거리,N,N,일반,126.656545,37.601693,인천교통공사,36954,11,3,302,30204,검단사거리
I201,인천2호선,S2802,검단오류,N,N,일반,126.629206,37.595162,인천교통공사,36955,11,3,302,30205,검단오류
I208,인천2호선,S2802,검바위,N,N,일반,126.677529,37.561091,인천교통공사,36956,11,3,302,30206,검바위
A08,공항철도,k0211,검암,인천2호선,I2802,환승,126.671221,37.568611,공항철도,36957,11,3,302,30207,검암
I207,인천2호선,S2802,검암,공항철도,k0211,환승,126.671221,37.568611,인천교통공사,17433,11,9,901,90101,검암
K413,경강선,k0218,경기광주,N,N,일반,127.253201,37.398974,한국철도공사,39272,11,2,203,20304,경기광주
U120,의정부경전철,L4101,경기도청북부청사,N,N,일반,127.0716075,37.7507731,㈜우진메트로,31800,11,2,202,20210,경기도청 북부청사
436,4호선,S1104,경마공원,N,N,일반,127.007899,37.443987,한국철도공사,1225,11,1,104,10428,경마공원
327,3호선,S1103,경복궁,N,N,일반,126.9734832,37.57560542,서울교통공사,1186,11,1,103,10318,경복궁
I115,인천1호선,S2801,경인교대입구,N,N,일반,126.722603,37.538272,인천교통공사,1394,11,3,301,30118,경인교대입구
U113,의정부경전철,L4101,경전철의정부,N,N,일반,127.043314,37.7373859,㈜우진메트로,31794,11,2,202,20204,경전철의정부
351,3호선,S1103,경찰병원,N,N,일반,127.1242996,37.49576539,서울교통공사,25075,11,1,103,10346,경찰병원
I114,인천1호선,S2801,계산,N,N,일반,126.728436,37.543243,인천교통공사,1395,11,3,301,30119,계산
A07,공항철도,k0211,계양,인천1호선,I2801,환승,126.736319,37.571539,공항철도,17434,11,9,901,90102,계양
