"ars_id","st_id","st_nm","gps_x","gps_y","pos_x","pos_y","trans_yn","area_nm","route_ids","route_nms"
"04003","103000003",장한평역,"127.0661006787","37.5611445259","205839.4628270764","451297.68100240687",N,서울,"100100018|100100198|100100053|100100215|100100218|100100061|100100112|100100390|100100591","130|2221|303|3216|3220|370|721|9403|N30"
"04101","103000004",상왕십리역,"127.0292414479","37.5642456516","202583.1393192778","451640.1810218217",N,서울,"100100186|100100189|100100190|100100605|100100588","2012|2014|2015|463|N62"
"04102","103000005",상왕십리역,"127.0286812869","37.5646936321","202533.64048435097","451689.8810248864",Y,서울,"100100130|100100026|100100186|100100188|100100189|100100190|100100039|100100052|100100605|100100289|100100588","1017|147|2012|2013|2014|2015|202|302|463|6211|N62"
"04103","103000006",왕십리센트라스아파트,"127.0250386916","37.5651585235","202211.84804312963","451741.38102512946",N,서울,"100100130|100100026|100100186|100100188|100100189|100100190|100100039|100100052|100100605|100100289|100100588","1017|147|2012|2013|2014|2015|202|302|463|6211|N62"
"04104","103000007",왕십리교회,"127.0236609459","37.5662092355","202090.1124782676","451857.9537231233",N,서울,"100100130|100100052|100100409|100100289","1017|302|421|6211"
"04106","103000008",청계벽산아파트.텐즈힐아파트,"127.030417138","37.5687246853","202686.83687957306","452137.28108154377",N,서울,"100100130|100100026|100100039|100100595","1017|147|202|241"
"04107","103000009",청계벽산아파트.텐즈힐아파트,"127.0300410727","37.5681679066","202653.6376579677","452075.4810719332",N,서울,"100100130|100100026|100100188|100100039|100100595","1017|147|2013|202|241"
"04108","103000010",왕십리도선동주민센터,"127.0245260641","37.5676261467","202166.49249126838","452015.2170482343",N,서울,"100100130|100100052|100100289","1017|302|6211"
"04109","103000011",왕십리2동주민센터,"127.0332625935","37.56244961","202938.43097390747","451440.9809944369",N,서울,"100100186|100100188|100100189|100100190|100100052|100100605|100100588","2012|2013|2014|2015|302|463|N62"
"04110","103000012",코스모타워.서울신용보증재단성동지점,"127.032902865","37.5629822568","202906.6317171503","451500.08100251015",N,서울,"100100186|100100188|100100189|100100190|100100052|100100605|100100588","2012|2013|2014|2015|302|463|N62"
"04111","103000013",성동구청,"127.0363301549","37.5632619283","203209.3857507108","451531.22944112634",N,서울,"100100015|100100020|100100024|100100027|100100190|100100199|100100409","110B국민대|141|145|148|2015|2222|421"
"04112","103000014",성동구청,"127.0356622937","37.5623965906","203150.42370046215","451435.1748281522",N,서울,"100100016|100100020|100100024|100100027|100100190|100100199|100100409","110A고려대|141|145|148|2015|2222|421"
"04113","103000015",상왕십리역,"127.0302446401","37.5648716583","202671.73724073212","451709.68102384685",N,서울,"100100026|100100039|100100595","147|202|241"
"04114","103000016",상왕십리역.센트라스아파트,"127.0299695015","37.5655756696","202647.4072564924","451787.8018698571",N,서울,"100100130|100100026|100100188|100100039|100100052|100100289","1017|147|2013|202|302|6211"
"04116","103000017",마장동주민센터,"127.04457376","37.5673234964","203937.40750433953","451982.281073655",N,서울,"100100583|100100188","121|2013"
"04117","103000018",마장역,"127.0422829487","37.5655987334","203735.13560149202","451790.7795409444",N,서울,"100100583|100100188","121|2013"
"04118","103000019",성동노인복지관,"127.0415861333","37.5649375925","203673.61370247923","451717.3810414532",N,서울,"100100583|100100188","121|2013"
"04119","103000020",마장축산물시장,"127.0377069108","37.5696813441","203330.72175946305","452243.6810998516",N,서울,"100100015|100100020|100100024|100100027|100100190|100100199|100100409","110B국민대|141|145|148|2015|2222|421"
"04120","103000021",마장축산물시장,"127.0375113528","37.5702590064","203313.42216468064","452307.7811155943",N,서울,"100100016|100100020|100100024|100100027|100100190|100100199|100100409","110A고려대|141|145|148|2015|2222|421"
