순번,ROUTE_ID,ROUTE_NM,STA_ORDER,STATION_NM,STATION_ID,MOBILE_NO
65001,228000071,71-1,35,운동장.송담대역,228000321,29429
65002,228000071,71-1,36,용인터미널,228000197,29436
65003,228000071,71-1,37,용인터미널(경유),277102695,
65004,228000079,70,1,용인터미널,228001552,47634
65005,228000079,70,2,터미사거리(경유),277102443,
65006,228000079,70,3,운동장.송담대역,228000320,29430
65007,228000079,70,4,실내체육관앞,228000426,47311
65008,228000079,70,5,고진역입구,228000319,29454
65009,228000079,70,6,무수막,228000318,29453
65010,228000079,70,7,유림동행정복지센터,228000317,29451
65011,228000079,70,8,지장실입구,228001294,29954
65012,228000079,70,9,보평역.장애인종합복지관,228001436,47480
65013,228000079,70,10,인정프린스아파트,228000293,29938
65014,228000079,70,11,고림동.삼정그린뷰,228000292,29936
65015,228000079,70,12,영화2차,228000291,47268
65016,228000079,70,13,동우산업앞,228000290,47269
65017,228000079,70,14,어매실앞,228000289,47270
65018,228000079,70,15,금어1리,228000288,47582
65019,228000079,70,16,금어리환경센터앞,228000287,47271
65020,228000079,70,17,대진산업,228001891,47833
65021,228000079,70,18,용인더힐즈,228002120,47762
65022,228000079,70,19,금어2리,228000286,47095
65023,228000079,70,20,용인야영장,228001893,47835
65024,228000079,70,21,계곡식당,228002286,47785
65025,228000079,70,22,세음어린이집,228001895,47837
65026,228000079,70,23,금어2리,228001897,47839
65027,228000079,70,24,세임어린이집,228001896,47838
65028,228000079,70,25,계곡식당,228002285,47801
65029,228000079,70,26,용인야영장,228001894,47836
65030,228000079,70,27,금어2리,228000285,47179
65031,228000079,70,28,용인더힐즈,228001869,47796
65032,228000079,70,29,대진산업,228001892,47834
65033,228000079,70,30,금어리환경센터앞,228000284,47272
65034,228000079,70,31,금어리스포츠센터,228002287,29004
65035,228000079,70,32,금어1리,228000283,47273
65036,228000079,70,33,어매실앞,228000282,47274
65037,228000079,70,34,신성물류앞,228002284,47455
65038,228000079,70,35,동우산업앞,228000281,47583
65039,228000079,70,36,영화2차,228000280,47275
65040,228000079,70,37,고림동.삼정그린뷰,228000279,29935
65041,228000079,70,38,인정프린스아파트,228000278,29937
65042,228000079,70,39,보평역.장애인종합복지관,228001519,47445
65043,228000079,70,40,지장실입구,228000237,29915
65044,228000079,70,41,유림동행정복지센터,228000324,29446
65045,228000079,70,42,무수막,228000323,29448
65046,228000079,70,43,실내체육관앞,228000419,47312
65047,228000079,70,44,운동장.송담대역,228000321,29429
65048,228000079,70,45,용인터미널,228000197,29436
65049,228000079,70,46,용인터미널(경유),277102695,
65050,228000081,12,1,금어2리,228001897,47839
65051,228000081,12,2,세임어린이집,228001896,47838
65052,228000081,12,3,계곡식당,228002285,47801
65053,228000081,12,4,용인야영장,228001894,47836
65054,228000081,12,5,금어2리,228000285,47179
65055,228000081,12,6,용인더힐즈,228001869,47796
65056,228000081,12,7,대진산업,228001892,47834
65057,228000081,12,8,금어리환경센터앞,228000284,47272
65058,228000081,12,9,금어리스포츠센터,228002287,29004
65059,228000081,12,10,금어1리,228000283,47273
65060,228000081,12,11,어매실앞,228000282,47274
65061,228000081,12,12,신성물류앞,228002284,47455
65062,228000081,12,13,동우산업앞,228000281,47583
65063,228000081,12,14,영화2차,228000280,47275
65064,228000081,12,15,고림동.삼정그린뷰,228000279,29935
65065,228000081,12,16,인정프린스아파트,228000278,29937
65066,228000081,12,17,둔전역,228001777,47745
65067,228000081,12,18,신원아파트,228001150,29465
65068,228000081,12,19,둔전농협앞,228001152,29470
65069,228000081,12,20,둔전,228001759,47720
65070,228000081,12,21,55사단앞.삼성쉐르빌아파트,228001154,47348
65071,228000081,12,22,포곡고등학교,228001866,47789
65072,228000081,12,23,포곡농협.대륙,228001156,29490
65073,228000081,12,24,포곡읍행정복지센터,228001345,29496
65074,228000081,12,25,포곡초교앞사거리,228001628,47519
65075,228000081,12,26,포곡초등학교,228002072,47967
65076,228000081,12,27,가마실,228002074,47969
65077,228000081,12,28,에버힐스마을입구,228002076,47971
65078,228000081,12,29,마성리,228000384,47675
65079,228000081,12,30,마성리,228000383,47625
65080,228000081,12,31,에버힐스마을입구,228002077,47972
65081,228000081,12,32,가마실,228002075,47970
65082,228000081,12,33,포곡초등학교,228002073,47968
65083,228000081,12,34,포곡중학교,228001348,29481
65084,228000081,12,35,포곡읍행정복지센터,228001159,29501
65085,228000081,12,36,포곡농협.대륙,228001157,29491
65086,228000081,12,37,포곡고등학교,228001865,47732
65087,228000081,12,38,55사단앞.삼성쉐르빌아파트,228001155,47534
65088,228000081,12,39,둔전,228001153,29472
65089,228000081,12,40,둔전농협앞,228001740,47705
65090,228000081,12,41,신원아파트,228001151,29463
65091,228000081,12,42,둔전역,228002150,56033
65092,228000081,12,43,인정프린스아파트,228000293,29938
65093,228000081,12,44,고림동.삼정그린뷰,228000292,29936
65094,228000081,12,45,영화2차,228000291,47268
65095,228000081,12,46,동우산업앞,228000290,47269
65096,228000081,12,47,어매실앞,228000289,47270
65097,228000081,12,48,금어1리,228000288,47582
65098,228000081,12,49,금어리환경센터앞,228000287,47271
65099,228000081,12,50,대진산업,228001891,47833
65100,228000081,12,51,용인더힐즈,228002120,47762
65101,228000081,12,52,금어2리,228000286,47095
65102,228000081,12,53,용인야영장,228001893,47835
65103,228000081,12,54,계곡식당,228002286,47785
65104,228000081,12,55,세음어린이집,228001895,47837
65105,228000082,92,1,용인터미널,228001552,47634
65106,228000082,92,2,송담대사거리(경유),277102467,
65107,228000082,92,3,라이프아파트,228000664,29457
65108,228000082,92,4,용인예술과학대학교,228000663,29464
65109,228000082,92,5,옥현,228000235,29955
65110,228000082,92,6,평옥,228000234,29956
65111,228000082,92,7,대촌,228000233,29957
65112,228000082,92,8,안터입구,228001278,47529
65113,228000082,92,9,무너머고개.남동타운하우스,228000232,47292
65114,228000082,92,10,은화삼입구,228000231,29959
65115,228000082,92,11,아미원입구,228000230,29961
65116,228000082,92,12,노루실,228001279,29963
65117,228000082,92,13,에이스카운티,228003577,56664
65118,228000082,92,14,베네스타아파트,228001778,47746
65119,228000082,92,15,천리입구.메종포레스트,228002104,47987
65120,228000082,92,16,천리신미주아파트,228000228,29967
65121,228000082,92,17,천리농협.샘골마을,228000227,29969
65122,228000082,92,18,천리국민주택,228001285,29971
65123,228000082,92,19,신창,228000226,29973
65124,228000082,92,20,신창.덕성2리휴게소,228000225,29975
65125,228000082,92,21,덕성리삼배울,228000224,29977
65126,228000082,92,22,덕성리세라믹,228000223,29979
65127,228000082,92,23,덕성1리,228000222,29981
65128,228000082,92,24,시미곡,228000221,29983
65129,228000082,92,25,시미1리남진말,228000220,29985
65130,228000082,92,26,미룡마을입구,228000219,29987
65131,228000082,92,27,마니커입구삼거리,228003593,56691
65132,228000082,92,28,화산리입구,228001286,29989
65133,228000082,92,29,송전터미널,228000218,29991
65134,228000082,92,30,창리,228000068,47239
65135,228000082,92,31,꽃마을,228001566,47416
65136,228000082,92,32,한국상업사박물관,228002106,56015
65137,228000082,92,33,윗꽃골,228002105,56014
65138,228000082,92,34,지심골,228002107,56016
65139,228000082,92,35,창3리.마을회관,228001567,47415
65140,228000082,92,36,꽃마을,228001568,47414
65141,228000082,92,37,월곡,228000067,47567
65142,228000082,92,38,남곡사거리.남곡초교,228001479,47371
65143,228000082,92,39,처인성,228000110,47562
65144,228000082,92,40,아곡2리,228001480,47370
65145,228000082,92,41,한숲시티,228001824,56702
65146,228000082,92,42,한숲3단지,228001819,56699
65147,228000082,92,43,한숲5단지,228001818,56698
65148,228000082,92,44,한숲6단지,228001817,56697
65149,228000082,92,45,한숲4단지,228001821,56700
65150,228000082,92,46,한숲시티,228001823,56701
65151,228000082,92,47,아곡2리,228001462,47379
65152,228000082,92,48,처인성,228000121,47266
65153,228000082,92,49,남곡사거리.남곡초교,228001463,47547
65154,228000082,92,50,월곡,228000062,47243
65155,228000082,92,51,꽃마을,228001566,47416
65156,228000082,92,52,한국상업사박물관,228002106,56015
65157,228000082,92,53,윗꽃골,228002105,56014
65158,228000082,92,54,지심골,228002107,56016
65159,228000082,92,55,창3리.마을회관,228001567,47415
65160,228000082,92,56,꽃마을,228001568,47414
65161,228000082,92,57,창리,228000061,47244
65162,228000082,92,58,송전터미널,228000217,29992
65163,228000082,92,59,화산리,228000216,47191
65164,228000082,92,60,마니커입구삼거리,228003594,56692
65165,228000082,92,61,미룡마을입구,228000215,29988
65166,228000082,92,62,시미1리남진말,228000214,29986
65167,228000082,92,63,시미곡,228000213,29984
65168,228000082,92,64,덕성1리,228000212,29982
65169,228000082,92,65,덕성리세라믹,228001293,29980
65170,228000082,92,66,덕성2리.삼배울,228000211,29978
65171,228000082,92,67,신창.덕성2리,228000210,47652
65172,228000082,92,68,신창,228000209,29974
65173,228000082,92,69,천리국민주택,228000208,29972
65174,228000082,92,70,천리농협.샘골마을,228000207,29970
65175,228000082,92,71,천리신미주아파트,228000206,29968
65176,228000082,92,72,천리입구.메종포레스트,228001490,47367
65177,228000082,92,73,베네스타아파트,228001779,47747
65178,228000082,92,74,에이스카운티,228001803,56703
65179,228000082,92,75,노루실,228000205,29964
65180,228000082,92,76,아미원입구,228000204,29962
65181,228000082,92,77,무너머고개.남동타운하우스,228000203,47252
65182,228000082,92,78,안터입구,228001742,47712
65183,228000082,92,79,대촌,228000202,29958
65184,228000082,92,80,평옥,228000201,47014
65185,228000082,92,81,옥현,228000200,47253
65186,228000082,92,82,태성중고등학교.현대아파트,228000199,47015
65187,228000082,92,83,현대아파트,228000198,47592
65188,228000082,92,84,용인터미널,228000197,29436
65189,228000082,92,85,용인터미널(경유),277102695,
65190,228000089,83,1,용인터미널,228001552,47634
65191,228000089,83,2,터미널사거리(경유),277102487,
65192,228000089,83,3,처인구청후문,228000752,29418
65193,228000089,83,4,문예회관입구,228000751,29416
65194,228000089,83,5,주공아파트,228000750,29411
65195,228000089,83,6,중앙지구대,228000446,29412
65196,228000089,83,7,처인구청.용인헌혈의집,228000445,29420
65197,228000089,83,8,용인시장.시장약국,228000444,29425
65198,228000089,83,9,포브스병원,228000443,29439
65199,228000089,83,10,우성아파트,228000442,29460
65200,228000089,83,11,동부동행정복지센터,228000773,29471
65201,228000089,83,12,라이프아파트,228000664,29457
65202,228000089,83,13,용인예술과학대학교,228000663,29464
65203,228000089,83,14,기후변화체험교육센터.삼삼부락,228001508,29883
65204,228000089,83,15,삼삼부락마을회관,228000662,29488
65205,228000089,83,16,목동야목농원,228001509,29885
65206,228000089,83,17,운학과학화예비군훈련장,228000661,29497
65207,228000089,83,18,별학,228000660,29508
65208,228000089,83,19,백마기도원,228000659,29519
65209,228000089,83,20,장재미,228001511,29888
65210,228000089,83,21,운학초등학교,228000658,29532
65211,228000089,83,22,내어둔마을회관앞,228001521,47541
65212,228000089,83,23,엘에스시스템,228000657,47522
65213,228000089,83,24,예직,228000656,29558
65214,228000089,83,25,해곡동,228001718,29889
65215,228000089,83,26,별미,228001714,29563
65216,228000089,83,27,석유비축기지앞,228001520,47444
65217,228000089,83,28,해실리,228000454,47119
65218,228000089,83,29,해곡동(경유),277101914,
65219,228000089,83,30,석유비축기지앞,228000452,47600
65220,228000089,83,31,별미,228000610,29566
65221,228000089,83,32,해곡동,228000609,29562
65222,228000089,83,33,예직,228000608,29559
65223,228000089,83,34,엘에스시스템,228000607,47326
65224,228000089,83,35,내어둔마을회관앞,228001521,47541
65225,228000089,83,36,운학동,228000606,47637
65226,228000089,83,37,장재미,228000605,29522
65227,228000089,83,38,백마기도원,228001510,29887
65228,228000089,83,39,별학,228000604,29510
65229,228000089,83,40,운학과학화예비군훈련장,228001741,47706
65230,228000089,83,41,목동야목농원,228000603,29495
65231,228000089,83,42,삼삼부락마을회관,228000602,29489
65232,228000089,83,43,기후변화체험교육센터.삼삼부락,228000601,29884
65233,228000089,83,44,용인예술과학대학교,228000600,29462
65234,228000089,83,45,라이프아파트,228000599,29458
65235,228000089,83,46,동부동행정복지센터,228000773,29471
65236,228000089,83,47,우성아파트,228000451,29461
65237,228000089,83,48,포브스병원,228000450,29441
65238,228000089,83,49,용인시장.시장약국,228000449,29428
65239,228000089,83,50,처인구청.용인헌혈의집,228000448,29419
65240,228000089,83,51,중앙지구대,228000447,29413
65241,228000089,83,52,주공아파트,228001299,29410
65242,228000089,83,53,문예회관입구,228001300,29415
65243,228000089,83,54,처인구청후문,228000774,29417
65244,228000089,83,55,용인터미널,228000197,29436
65245,228000089,83,56,용인터미널(경유),277102695,
65246,228000092,93,1,용인터미널,228001552,47634
65247,228000092,93,2,송담대사거리(경유),277102467,
65248,228000092,93,3,라이프아파트,228000664,29457
65249,228000092,93,4,용인예술과학대학교,228000663,29464
65250,228000092,93,5,옥현,228000235,29955
65251,228000092,93,6,평옥,228000234,29956
65252,228000092,93,7,대촌,228000233,29957
65253,228000092,93,8,무너머고개.남동타운하우스,228000232,47292
65254,228000092,93,9,은화삼입구,228000231,29959
65255,228000092,93,10,아미원입구,228000230,29961
65256,228000092,93,11,노루실,228001279,29963
65257,228000092,93,12,에이스카운티,228003577,56664
65258,228000092,93,13,베네스타아파트,228001778,47746
65259,228000092,93,14,천리입구,228001449,47384
65260,228000092,93,15,서리,228001523,47442
65261,228000092,93,16,하덕,228000133,47259
65262,228000092,93,17,서1리,228000132,47260
65263,228000092,93,18,중덕,228000131,47261
65264,228000092,93,19,서3리,228000130,47595
65265,228000092,93,20,상덕,228000129,47262
65266,228000092,93,21,용인대,228001209,47347
65267,228000092,93,22,용인대입구,228001522,47443
65268,228000092,93,23,역말마을,228000778,29400
65269,228000092,93,24,동원로얄듀크.용인등기소,228000777,29402
65270,228000092,93,25,명지대입구,228000776,29406
65271,228000092,93,26,역북초.벽산블루밍.삼환나우빌,228000775,29408
65272,228000092,93,27,중앙지구대,228000446,29412
65273,228000092,93,28,처인구청.용인헌혈의집,228000445,29420
65274,228000092,93,29,용인시장.시장약국,228000444,29425
65275,228000092,93,30,용인터미널,228000197,29436
65276,228000092,93,31,용인터미널(경유),277102695,
65277,228000108,95,1,용인터미널,228001552,47634
65278,228000108,95,2,터미사거리(경유),277102443,
65279,228000108,95,3,운동장.송담대역,228000320,29430
65280,228000108,95,4,공설운동장,228000418,47121
65281,228000108,95,5,용마초교,228001543,47489
65282,228000108,95,6,서울병원,228000439,47307
65283,228000108,95,7,덕영고등학교.고림5통마을회관,228000438,47308
65284,228000108,95,8,고림고등학교,228000437,47573
65285,228000108,95,9,단사마을,228001544,47538
65286,228000108,95,10,명성주유소,228001753,47719
65287,228000108,95,11,예진마을입구,228000266,29912
65288,228000108,95,12,용샘주유소,228001296,29916
65289,228000108,95,13,임원,228000275,29918
65290,228000108,95,14,예원마을앞,228001274,47624
65291,228000108,95,15,코아루아파트,228000273,47623
65292,228000108,95,16,주북3리,228000255,47281
65293,228000108,95,17,주북3리.가장골,228000254,47096
65294,228000108,95,18,대대2리.하리.용인로뎀파크,228000253,47282
65295,228000108,95,19,대대리,228000252,47587
65296,228000108,95,20,대대1리.윗한터,228000251,47283
65297,228000108,95,21,한터초등학교,228000250,47284
65298,228000108,95,22,대대저수지,228001723,47071
65299,228000108,95,23,무량골,228000249,47588
65300,228000108,95,24,대대3리.아시아나CC입구,228000248,47285
65301,228000108,95,25,정수리,228000247,47286
65302,228000108,95,26,추곡리종점,234000785,38587
65303,228000108,95,27,추곡리종점(경유),277101662,
65304,228000108,95,28,추곡리마을입구,234001051,54099
65305,228000108,95,29,정수리,228000246,47287
65306,228000108,95,30,대대3리,228000245,47589
65307,228000108,95,31,무량골,228000244,47288
65308,228000108,95,32,대대저수지,228001867,47831
65309,228000108,95,33,한터초등학교,228000243,47289
65310,228000108,95,34,대대1리.윗한터,228000242,47590
65311,228000108,95,35,대대리,228000241,47290
65312,228000108,95,36,대대2리.하리.용인로뎀파크,228000240,47291
65313,228000108,95,37,주북3리.가장골,228000239,47097
65314,228000108,95,38,주북3리,228000238,47591
65315,228000108,95,39,예원마을앞,228001274,47624
65316,228000108,95,40,코아루아파트,228000273,47623
65317,228000108,95,41,예원마을,228001780,47197
65318,228000108,95,42,임원,228000270,29919
65319,228000108,95,43,용샘주유소,228001298,29917
65320,228000108,95,44,예진마을입구,228000267,29913
65321,228000108,95,45,명성주유소,228001754,47718
65322,228000108,95,46,단사마을,228001550,47486
65323,228000108,95,47,고림고등학교,228000436,47309
65324,228000108,95,48,덕영고등학교.고림5통마을회관,228000435,47310
65325,228000108,95,49,서울병원,228000434,47574
65326,228000108,95,50,용마초교,228001551,47485
65327,228000108,95,51,공설운동장,228000427,47176
65328,228000108,95,52,운동장.송담대역,228000321,29429
65329,228000108,95,53,용인터미널,228000197,29436
65330,228000108,95,54,용인터미널(경유),277102695,
65331,228000113,9-1,1,용인터미널,228001552,47634
65332,228000113,9-1,2,터미사거리(경유),277102443,
65333,228000113,9-1,3,운동장.송담대역,228000320,29430
65334,228000113,9-1,4,고진역입구,228000319,29454
65335,228000113,9-1,5,무수막,228000318,29453
65336,228000113,9-1,6,유림동행정복지센터,228000317,29451
65337,228000113,9-1,7,상유곡.버드실,228000316,29449
65338,228000113,9-1,8,유림동.방축,228000315,29452
65339,228000113,9-1,9,화훼단지앞,228000314,29443
65340,228000113,9-1,10,수포교,228001149,29824
65341,228000113,9-1,11,둔전역.인정멜로디아파트,228000313,29456
65342,228000113,9-1,12,신원아파트,228001150,29465
65343,228000113,9-1,13,둔전농협앞,228001152,29470
65344,228000113,9-1,14,둔전,228001759,47720
65345,228000113,9-1,15,55사단앞.삼성쉐르빌아파트,228001154,47348
65346,228000113,9-1,16,포곡고등학교,228001866,47789
65347,228000113,9-1,17,포곡농협.대륙,228001156,29490
65348,228000113,9-1,18,포곡읍행정복지센터,228001345,29496
65349,228000113,9-1,19,포곡초교앞사거리,228001628,47519
65350,228000113,9-1,20,고은유치원,228001438,47478
65351,228000113,9-1,21,배머루마을,228001639,47512
