NODE_ID,NODE_REAL_ID,NODE_NM,GPS_LATI,GPS_LONG,COLLECTD_TIME,NODE_MOBILE_ID,CITY_CODE,CITY_ABB,CITY_NAME
SEB101000082,101000082,신당역.중앙시장앞,37.565492,127.0194795,2020-09-24 7:32,2182,11,SEB,서울특별시
SEB103000509,103000509,뉴타운아파트,37.5648196,127.0271117,2020-09-24 7:32,4105,11,SEB,서울특별시
SEB103000008,103000008,청계벽산아파트.텐즈힐아파트,37.5687246,127.0304171,2020-09-24 7:32,4106,11,SEB,서울특별시
SEB107000116,107000116,장위동원천주유소,37.6146307,127.0529741,2020-09-24 7:32,8206,11,SEB,서울특별시
SEB108000067,108000067,북부수도사업소,37.6349568,127.0352743,2020-09-24 7:32,9155,11,SEB,서울특별시
SEB108000122,108000122,수송초등학교,37.63696,127.0316539,2020-09-24 7:32,9210,11,SEB,서울특별시
SEB121000188,121000188,방배동고개,37.4868461,126.9892244,2020-09-24 7:32,22264,11,SEB,서울특별시
SEB108000160,108000160,수유역.노스페이스문화센터,37.6390157,127.0269455,2020-09-24 7:32,9248,11,SEB,서울특별시
SEB101000008,101000008,숭례문,37.5586388,126.9737783,2020-09-24 7:32,2008,11,SEB,서울특별시
SEB102000006,102000006,KT용산지사,37.5320503,126.970564,2020-09-24 7:32,3006,11,SEB,서울특별시
SEB118000014,118000014,서울지방병무청,37.5043933,126.9219621,2020-09-24 7:32,19014,11,SEB,서울특별시
SEB118000010,118000010,강남성심병원.대림성모병원,37.4908711,126.9079002,2020-09-24 7:32,19010,11,SEB,서울특별시
SEB118000009,118000009,서울영림초등학교,37.4870299,126.9046945,2020-09-24 7:32,19009,11,SEB,서울특별시
SEB119000002,119000002,신대방경남아파트,37.4902988,126.9077697,2020-09-24 7:32,20002,11,SEB,서울특별시
SEB119000020,119000020,서울지방병무청앞,37.506935,126.923275,2020-09-24 7:32,20106,11,SEB,서울특별시
SEB108000026,108000026,인수동백운교회입구,37.6445878,127.0106566,2020-09-24 7:32,9114,11,SEB,서울특별시
SEB108000044,108000044,인수동청수탕입구,37.6373231,127.0129353,2020-09-24 7:32,9132,11,SEB,서울특별시
SEB100000131,100000131,명륜동2가.성균관대입구,37.5833334,126.9993987,2020-09-24 7:32,1227,11,SEB,서울특별시
SEB108000054,108000054,강북노인종합복지관,37.6344334,127.0189955,2020-09-24 7:32,9142,11,SEB,서울특별시
SEB108000127,108000127,구세군강북종합사회복지관입구,37.6247738,127.012386,2020-09-24 7:32,9215,11,SEB,서울특별시
SEB120000074,120000074,삼성산성지,37.4586042,126.9300887,2020-09-24 7:32,21176,11,SEB,서울특별시
SEB120000077,120000077,미림고개.고시촌입구,37.4677922,126.9320992,2020-09-24 7:32,21179,11,SEB,서울특별시
SEB107000028,107000028,정릉2동주민센터,37.6048635,127.011335,2020-09-24 7:32,8118,11,SEB,서울특별시
SEB113000113,113000113,신촌로터리,37.5540291,126.9348325,2020-09-24 7:32,14204,11,SEB,서울특별시
SEB118000048,118000048,국회의사당역,37.5280783,126.9173733,2020-09-24 7:32,19133,11,SEB,서울특별시
SEB107000027,107000027,정릉2동주민센터,37.604593,127.011258,2020-09-24 7:32,8117,11,SEB,서울특별시
SEB116000003,116000003,신도림동.구로역,37.5060021,126.8839791,2020-09-24 7:32,17003,11,SEB,서울특별시
SEB116000005,116000005,구일역.중앙유통상가.롯데마트,37.4997974,126.8746047,2020-09-24 7:32,17005,11,SEB,서울특별시
SEB116000086,116000086,오류동역,37.4956023,126.8425369,2020-09-24 7:32,17172,11,SEB,서울특별시
SEB118000003,118000003,남부지방법원등기국.구로세무서(에이스하이테크시티),37.5144838,126.9011873,2020-09-24 7:32,19003,11,SEB,서울특별시
SEB118000005,118000005,영등포역,37.5160119,126.9056181,2020-09-24 7:32,19005,11,SEB,서울특별시
SEB102000018,102000018,남영역,37.5420069,126.9719271,2020-09-24 7:32,3110,11,SEB,서울특별시
SEB102000053,102000053,원효로3가,37.5337957,126.9583248,2020-09-24 7:32,3147,11,SEB,서울특별시
SEB102000051,102000051,원효로2가사거리,37.5349338,126.9610704,2020-09-24 7:32,3145,11,SEB,서울특별시
SEB102000049,102000049,남정초등학교,37.5363187,126.9636632,2020-09-24 7:32,3143,11,SEB,서울특별시
SEB107000169,107000169,정릉입구,37.6030111,127.0134299,2020-09-24 7:32,8264,11,SEB,서울특별시
SEB100000035,100000035,덕성여중고,37.5759017,126.982017,2020-09-24 7:32,1130,11,SEB,서울특별시
SEB113000475,113000475,웨딩타운,37.557227,126.952408,2020-09-24 7:32,13042,11,SEB,서울특별시
SEB112000013,112000013,연세대앞,37.5601569,126.9354996,2020-09-24 7:32,13013,11,SEB,서울특별시
SEB113000065,113000065,중동초등학교,37.5668726,126.9104194,2020-09-24 7:32,14156,11,SEB,서울특별시
SEB113000204,113000204,누리꿈스퀘어.MBC,37.578988,126.889637,2020-09-24 7:32,14307,11,SEB,서울특별시
SEB112000008,112000008,연희104고지앞.구성산회관,37.5662421,126.925073,2020-09-24 7:32,13008,11,SEB,서울특별시
SEB113000477,113000477,아현역,37.5572147,126.9547587,2020-09-24 7:32,14068,11,SEB,서울특별시
SEB110000351,110000351,하계극동아파트,37.6338991,127.0647215,2020-09-24 7:32,11452,11,SEB,서울특별시
SEB101000037,101000037,서소문,37.5636754,126.9753398,2020-09-24 7:32,2134,11,SEB,서울특별시
SEB113000017,113000017,월드컵파크3단지.난지천공원,37.5733297,126.888093,2020-09-24 7:32,14107,11,SEB,서울특별시
SEB113000201,113000201,월드컵파크4단지후문.JTBC,37.5773855,126.8900683,2020-09-24 7:32,14295,11,SEB,서울특별시
SEB221000100,221000100,럭키아파트,37.5915972,127.1431961,2020-09-24 7:32,39059,11,SEB,서울특별시
SEB221000098,221000098,수평사거리.우림아파트,37.5907362,127.1486154,2020-09-24 7:32,39058,11,SEB,서울특별시
SEB221000241,221000241,돌다리.구리전통시장(중),37.6005006,127.1387492,2020-09-24 7:32,39038,11,SEB,서울특별시
SEB106000428,106000428,동부제일병원.망우리공원,37.6004643,127.1089021,2020-09-24 7:32,7013,11,SEB,서울특별시
SEB122900075,122900075,은곡마을,37.4674523,127.0968576,2020-09-24 7:32,23949,11,SEB,서울특별시
SEB124900012,124900012,묘곡초교사거리,37.5593193,127.1516273,2020-09-24 7:32,25541,11,SEB,서울특별시
SEB124900001,124900001,고분다리,37.5426653,127.131286,2020-09-24 7:32,25557,11,SEB,서울특별시
SEB124900085,124900085,천호역5번출구,37.5377527,127.1270531,2020-09-24 7:32,25570,11,SEB,서울특별시
SEB124900100,124900100,길동우성아파트.은평교회맞은편,37.5363256,127.145545,2020-09-24 7:32,25510,11,SEB,서울특별시
SEB124900106,124900106,둔촌푸르지오아파트사거리,37.5343495,127.1448351,2020-09-24 7:32,25512,11,SEB,서울특별시
SEB124900093,124900093,대순진리회,37.5303284,127.1313345,2020-09-24 7:32,25534,11,SEB,서울특별시
SEB124900091,124900091,성내삼성아파트.공안과,37.5316598,127.1258932,2020-09-24 7:32,25552,11,SEB,서울특별시
SEB124900030,124900030,둔촌주공아파트1.4단지후문,37.527107,127.1421803,2020-09-24 7:32,25566,11,SEB,서울특별시
SEB124900121,124900121,고덕역1번출구,37.5555055,127.1530718,2020-09-24 7:32,25518,11,SEB,서울특별시
SEB124900032,124900032,암사역,37.550633,127.1278571,2020-09-24 7:32,25571,11,SEB,서울특별시
SEB124900040,124900040,서원마을,37.5637398,127.1331839,2020-09-24 7:32,25586,11,SEB,서울특별시
SEB124900048,124900048,브라운스톤,37.5488715,127.1301481,2020-09-24 7:32,25675,11,SEB,서울특별시
SEB124900124,124900124,주양쇼핑,37.5523457,127.1530458,2020-09-24 7:32,25525,11,SEB,서울특별시
SEB164000649,164000649,송도더샵센트럴시티.글로벌캠퍼,37.3724171,126.6496056,2020-09-24 7:32,38647,11,SEB,서울특별시
SEB168000753,168000753,마전고등학교,37.6082606,126.6642011,2020-09-24 7:32,42753,11,SEB,서울특별시
SEB168000404,168000404,동아아파트,37.5921192,126.6710775,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000442,168000442,보람프라자앞,37.5907358,126.6962511,2020-09-24 7:32,0,11,SEB,서울특별시
SEB115000283,115000283,김포공항국제선,37.564998,126.8010312,2020-09-24 7:32,16392,11,SEB,서울특별시
SEB167000350,167000350,신동아아파트,37.5769523,126.7309525,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000406,168000406,동아아파트,37.5924207,126.6710432,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000409,168000409,완정공단입구,37.593712,126.6682181,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000415,168000415,완정초등학교.검단도서관,37.596362,126.6634586,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000646,168000646,마전지구3,37.6122288,126.656903,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168001143,168001143,원창동(기점),37.5183318,126.6582828,2020-09-24 7:32,89143,11,SEB,서울특별시
SEB167000404,167000404,계양여성회관,37.5273422,126.7169458,2020-09-24 7:32,0,11,SEB,서울특별시
SEB167000271,167000271,신대진중앙아파트,37.539094,126.7387047,2020-09-24 7:32,0,11,SEB,서울특별시
SEB167000375,167000375,한화아파트,37.5536732,126.7459683,2020-09-24 7:32,0,11,SEB,서울특별시
SEB167000373,167000373,동양주공1.2단지,37.5558556,126.7546601,2020-09-24 7:32,0,11,SEB,서울특별시
SEB167000462,167000462,화훼단지,37.5544136,126.7656593,2020-09-24 7:32,0,11,SEB,서울특별시
SEB167000292,167000292,임학역,37.5427519,126.7380988,2020-09-24 7:32,0,11,SEB,서울특별시
SEB167000092,167000092,작전역2번출구,37.5280727,126.722254,2020-09-24 7:32,41092,11,SEB,서울특별시
SEB168000613,168000613,청소년수련관,37.5153093,126.6592591,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000220,168000220,신현쇼핑,37.5166803,126.6723762,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000600,168000600,신현치안센터,37.5114485,126.6718529,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000380,168000380,단봉초등학교,37.5947535,126.6374845,2020-09-24 7:32,0,11,SEB,서울특별시
SEB168000426,168000426,검단사거리역,37.5997804,126.6557077,2020-09-24 7:32,0,11,SEB,서울특별시
